E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A/cm\+(-2),mA/cm\+(-2)
-0.19541322,-0.00238352318410762,-2.38352318410762,-15.6755990382174,-0.0156755990382174
-0.19599748,-0.00236472063746381,-2.36472063746381,-15.5519412596604,-0.0155519412596604
-0.19698662,-0.00230810049045734,-2.30810049045734,-15.1795703392196,-0.0151795703392196
-0.19789344,-0.00211100399772274,-2.11100399772274,-13.8833355836499,-0.0138833355836499
-0.19850142,-0.00171195802290134,-1.71195802290134,-11.2589496574618,-0.0112589496574618
-0.19867268,-0.00120959015182759,-1.20959015182759,-7.95505172638996,-0.00795505172638996
-0.19836558,-6.95473910935916E-4,-0.695473910935915,-4.57388887259932,-0.00457388887259932
-0.19762157,-2.92529503793855E-4,-0.292529503793855,-1.92386431938063,-0.00192386431938063
-0.19665769,-1.78356148548492E-5,-0.0178356148548492,-0.117298606083987,-1.17298606083987E-4
-0.19556224,1.50168416325869E-4,0.150168416325869,0.987605196468747,9.87605196468747E-4
-0.19439952,2.42749632661799E-4,0.242749632661799,1.59647950296971,0.00159647950296971
-0.19330406,2.87515340813923E-4,0.287515340813923,1.89088792170607,0.00189088792170607
-0.19220075,3.11171146601434E-4,0.311171146601434,2.04646388963599,0.00204646388963599
-0.1911889,3.48988624434949E-4,0.348988624434949,2.29517622568856,0.00229517622568856
-0.19017494,3.92030556971198E-4,0.392030556971198,2.57824797458823,0.00257824797458823
-0.18919429,4.3499288196674E-4,0.43499288196674,2.86079617251223,0.00286079617251223
-0.18821152,4.99993329943514E-4,0.499993329943514,3.28828140386311,0.00328828140386311
-0.18720476,5.64542931998506E-4,0.564542931998506,3.71280157913859,0.00371280157913859
-0.18622921,6.23868140994293E-4,0.623868140994293,4.10296274697493,0.00410296274697493
-0.18523313,6.875924541747E-4,0.6875924541747,4.5220552857269,0.0045220552857269
-0.1842346,7.4792855705002E-4,0.74792855705002,4.91886474934295,0.00491886474934295
-0.18322574,8.00862428958584E-4,0.800862428958584,5.26699232666696,0.00526699232666696
-0.18223809,8.54273683924271E-4,0.854273683924271,5.61825948553186,0.00561825948553186
-0.18125002,9.05138951667238E-4,0.905138951667238,5.95278257615112,0.00595278257615112
-0.18024284,9.53484876390579E-4,0.953484876390579,6.27073682813742,0.00627073682813742
-0.17924882,0.00101742449977691,1.01742449977691,6.69124538687163,0.00669124538687163
-0.1782565,0.00109226382644718,1.09226382644718,7.18343748510482,0.00718343748510482
-0.17726609,0.00116084457375918,1.16084457375918,7.63446909401559,0.00763446909401559
-0.17625448,0.00121778293376135,1.21778293376135,8.00893279012682,0.00800893279012682
-0.17524284,0.00127737337485693,1.27737337485693,8.40083829679576,0.00840083829679576
-0.17425963,0.00134327540904956,1.34327540904956,8.8342529456209,0.0088342529456209
-0.17326818,0.00142063417903652,1.42063417903652,9.34301454210573,0.00934301454210573
-0.17226972,0.00150218307397963,1.50218307397962,9.87933312615023,0.00987933312615023
-0.17126973,0.00158497850720273,1.58497850720273,10.4238497568482,0.0104238497568482
-0.17026977,0.00166854286494022,1.66854286494022,10.9734233353698,0.0109734233353698
