E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A/cm\+(-2),mA/cm\+(-2)
-0.1954094,-0.00249379326123744,-2.49379326123744,-16.400806800628,-0.016400806800628
-0.1959576,-0.00248337091013834,-2.48337091013834,-16.3322626396337,-0.0163322626396337
-0.19695902,-0.00242932354619067,-2.42932354619067,-15.9768120142883,-0.0159768120142883
-0.1978792,-0.00224546042611311,-2.24546042611311,-14.7676085261626,-0.0147676085261626
-0.19848466,-0.00186012502884599,-1.86012502884599,-12.2333922772642,-0.0122333922772642
-0.19866759,-0.00135208201118075,-1.35208201118075,-8.89217089029125,-0.00889217089029124
-0.19834204,-8.54593748954354E-4,-0.854593748954354,-5.62036444138511,-0.00562036444138511
-0.19764766,-4.54460425089565E-4,-0.454460425089565,-2.98882740052265,-0.00298882740052265
-0.19667934,-1.84858418170582E-4,-0.184858418170582,-1.21574921586764,-0.00121574921586764
-0.19557731,-1.68278610149662E-5,-0.0168278610149662,-0.110670961247738,-1.10670961247738E-4
-0.19442964,5.88601450128103E-5,0.0588601450128103,0.387102604541097,3.87102604541097E-4
-0.19333546,1.08213804903951E-4,0.108213804903951,0.711684378563876,7.11684378563876E-4
-0.19226505,1.53403843531426E-4,0.153403843531426,1.0088834705505,0.0010088834705505
-0.1912445,1.90929609604811E-4,0.190929609604811,1.255677320298,0.001255677320298
-0.19021441,2.31929484306824E-4,0.231929484306824,1.5253191684374,0.0015253191684374
-0.18922529,2.87568376860589E-4,0.287568376860589,1.89123672125107,0.00189123672125107
-0.18822552,3.33447912554322E-4,0.333447912554322,2.1929703944915,0.0021929703944915
-0.18724638,3.88238182874071E-4,0.388238182874071,2.55330685543073,0.00255330685543073
-0.18626064,4.50560104228415E-4,0.450560104228415,2.96317635322115,0.00296317635322115
-0.18527314,5.12672738710406E-4,0.512672738710406,3.37166944438929,0.00337166944438929
-0.18426622,5.76529995062935E-4,0.576529995062935,3.79163630392612,0.00379163630392612
-0.18326119,6.22250394573916E-4,0.622250394573917,4.09232339410418,0.00409232339410418
-0.18225443,6.80408716258778E-4,0.680408716258778,4.47481035187584,0.00447481035187584
-0.18124472,7.41669860720624E-4,0.741669860720624,4.87770349074235,0.00487770349074235
-0.18025959,7.98846910735547E-4,0.798846910735547,5.25373696765505,0.00525373696765505
-0.17924926,8.58145575320022E-4,0.858145575320022,5.64372356217438,0.00564372356217437
-0.17825969,9.23968119978883E-4,0.923968119978883,6.07661543611424,0.00607661543611424
-0.1772576,9.87987265539737E-4,0.987987265539737,6.49764698440059,0.00649764698440059
-0.17625722,0.00105269609432273,1.05269609432273,6.92321433822291,0.00692321433822291
-0.17527021,0.00111273732535564,1.11273732535564,7.31808453277703,0.00731808453277703
-0.17427045,0.00118277660425924,1.18277660425924,7.77870839426878,0.00777870839426878
-0.17326117,0.0012684095170496,1.2684095170496,8.34188613649786,0.00834188613649786
-0.17227414,0.00134693519410373,1.34693519410373,8.85832207297731,0.0088583220729773
-0.17127715,0.00142087291614088,1.42087291614088,9.34458463261229,0.00934458463261229
-0.17025939,0.00149181380190082,1.49181380190082,9.8111380473235,0.00981113804732349
-0.16925453,0.00156599013340989,1.56599013340989,10.2989698580711,0.0102989698580711
-0.16827053,0.00163101719034684,1.63101719034684,10.7266300872543,0.0107266300872543
-0.16728328,0.00169691923545341,1.69691923545341,11.1600448078566,0.0111600448078566
-0.16628098,0.00176478385057837,1.76478385057837,11.6063666656321,0.0116063666656321
-0.16527085,0.00183015567674577,1.83015567674577,12.0362943215613,0.0120362943215613
-0.16427526,0.00190295052198054,1.90295052198054,12.5150405798556,0.0125150405798556
-0.16328853,0.0019740795006429,1.9740795006429,12.9828310158553,0.0129828310158553
-0.1622909,0.00204456943053325,2.04456943053325,13.4464186514028,0.0134464186514028
-0.16132173,0.00211551040087619,2.11551040087619,13.9129726223869,0.0139129726223869
-0.16035402,0.00218008643908736,2.18008643908736,14.3376666590232,0.0143376666590232
-0.1593443,0.00225869167439265,2.25869167439265,14.8546258223182,0.0148546258223182
-0.15837976,0.00231777809353338,2.31777809353338,15.2432165527251,0.0152432165527251
-0.1573671,0.00238185030280471,2.38185030280471,15.6645970824916,0.0156645970824916
-0.15640047,0.00244616133204546,2.44616133204546,16.0875482477393,0.0160875482477393
-0.15541387,0.00250458483222044,2.50458483222044,16.4717791917714,0.0164717791917714
-0.15440054,0.00256324691407725,2.56324691407725,16.8575792041505,0.0168575792041505
-0.15339759,0.00261278619432739,2.61278619432739,17.1833817384077,0.0171833817384077
-0.15237664,0.00265428997893955,2.65428997893954,17.4563376259302,0.0174563376259302
-0.15134165,0.0026812343217494,2.6812343217494,17.6335411526472,0.0176335411526472
-0.15033661,0.00270136290621143,2.70136290621143,17.7659198185387,0.0177659198185387
-0.14931352,0.00272759125295529,2.72759125295529,17.9384144893409,0.0179384144893409
-0.14830297,0.00275477427627873,2.75477427627873,18.1171877343867,0.0181171877343867
-0.14731021,0.00278598819345968,2.78598819345968,18.3224707597011,0.0183224707597011
-0.14628756,0.00280799977554126,2.80799977554126,18.467233242906,0.018467233242906
-0.14530203,0.00283902828636606,2.83902828636606,18.6712969154079,0.0186712969154079
-0.14431523,0.00286552162227356,2.86552162227356,18.8455343273365,0.0188455343273365
-0.14333457,0.00289479966667141,2.89479966667141,19.0380857938647,0.0190380857938647
-0.14235075,0.00293089333515835,2.93089333515835,19.2754612382456,0.0192754612382456
-0.14136438,0.00295712156690166,2.95712156690166,19.4479551527293,0.0194479551527293
-0.14035507,0.00297910679890062,2.97910679890062,19.592544340649,0.019592544340649
-0.13934875,0.00299093467138947,2.99093467138947,19.6703321246516,0.0196703321246516
-0.13833775,0.00299684860733073,2.99684860733073,19.709226014659,0.019709226014659
-0.13731232,0.0029935071417842,2.9935071417842,19.6872503634647,0.0196872503634647
-0.13630898,0.00298894575947391,2.98894575947391,19.6572517460261,0.0196572517460261
-0.1353067,0.00298793780004619,2.98793780004619,19.6506227491105,0.0196506227491105
-0.13430163,0.0029858427695015,2.9858427695015,19.6368444653454,0.0196368444653454
-0.13329487,0.00298178524018215,2.98178524018215,19.6101595129522,0.0196101595129522
-0.13231423,0.002985736652085,2.985736652085,19.6361465681808,0.0196361465681808
-0.13129114,0.0029692678189248,2.9692678189248,19.5278368076683,0.0195278368076683
-0.13029967,0.00296802142656816,2.96802142656816,19.5196397207017,0.0195196397207017
-0.1293048,0.00296035708480406,2.96035708480406,19.4692340232925,0.0194692340232925
-0.12830888,0.0029572011422311,2.9572011422311,19.4484784918627,0.0194484784918627
-0.12730703,0.00293940623871297,2.93940623871296,19.3314476300134,0.0193314476300134
-0.1263113,0.00292670331711837,2.92670331711837,19.2479049538362,0.0192479049538362
-0.12530816,0.00290036882809849,2.90036882809849,19.0747122223769,0.0190747122223769
-0.12432816,0.00286780236031822,2.86780236031822,18.8605339444318,0.0188605339444318
-0.12331775,0.00283859549237072,2.83859549237072,18.6684505805443,0.0186684505805443
-0.1223121,0.00280821197197333,2.80821197197333,18.4686287846857,0.0184686287846857
-0.12131744,0.002777289637379,2.777289637379,18.2652633961474,0.0182652633961473
-0.12031558,0.0027400026394591,2.7400026394591,18.0200398411056,0.0180200398411056
-0.11932284,0.00271700983628561,2.71700983628561,17.8688242096759,0.0178688242096759
