E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A/cm\+(-2),mA/cm\+(-2)
-0.1953903,-0.00295110372826457,-2.95110372826457,-19.4083779310012,-0.0194083779310011
-0.19595017,-0.00291848417388488,-2.91848417388488,-19.1938505210432,-0.0191938505210432
-0.19694461,-0.0028415232354746,-2.8415232354746,-18.6877053238123,-0.0186877053238123
-0.19783951,-0.00264638923181337,-2.64638923181337,-17.4043771730687,-0.0174043771730687
-0.19843054,-0.00228123579391751,-2.28123579391751,-15.0028906181874,-0.0150028906181874
-0.19856697,-0.0017806446724838,-1.7806446724838,-11.710677748597,-0.011710677748597
-0.19827454,-0.00127705700176901,-1.27705700176901,-8.39875762155589,-0.00839875762155589
-0.19759822,-8.47168167537245E-4,-0.847168167537245,-5.57152898734114,-0.00557152898734114
-0.19665195,-5.3155398124242E-4,-0.531553981242419,-3.49584477830197,-0.00349584477830197
-0.19556075,-3.39549414270044E-4,-0.339549414270044,-2.23309783905104,-0.00223309783905104
-0.19441627,-2.27582086558362E-4,-0.227582086558362,-1.49672785268309,-0.00149672785268309
-0.19329026,-1.63191589245394E-4,-0.163191589245394,-1.07325405369531,-0.00107325405369531
-0.19220288,-1.23915519875734E-4,-0.123915519875734,-0.814949070827483,-8.14949070827483E-4
-0.19116004,-8.84848340913575E-5,-0.0884848340913575,-0.581933831996108,-5.81933831996108E-4
-0.19015115,-5.17016238556304E-5,-0.0517016238556304,-0.340023512500059,-3.40023512500059E-4
-0.18913703,-1.22230430321771E-5,-0.0122230430321771,-0.0803866825700798,-8.03866825700798E-5
-0.18814339,4.3345960523627E-5,0.043345960523627,0.28507123472733,2.8507123472733E-4
-0.18716933,1.10653645846368E-4,0.110653645846368,0.727730359817744,7.27730359817744E-4
-0.18621987,1.91300887915228E-4,0.191300887915228,1.25811908799906,0.00125811908799906
-0.18522246,2.83086485776747E-4,0.283086485776747,1.86176088982987,0.00186176088982987
-0.18422081,3.67420023672417E-4,0.367420023672417,2.41639309745481,0.00241639309745481
-0.18322107,4.3183701349234E-4,0.43183701349234,2.84004112840279,0.00284004112840279
-0.18223616,4.87104634961118E-4,0.487104634961118,3.20351696103451,0.00320351696103451
