E,<I>,I (raw),j,j
V vs. RHE,mA,\g(m)A,\g(m)A/cm\+(-2),mA/cm\+(-2)
-0.19544759,-0.00257017073454335,-2.57017073454335,-16.9031147517646,-0.0169031147517646
-0.19595547,-0.00254134377994179,-2.54134377994179,-16.7135299451892,-0.0167135299451892
-0.19692998,-0.0024857844028803,-2.4857844028803,-16.3481353379808,-0.0163481353379808
-0.19783528,-0.00231329859424376,-2.31329859424376,-15.2137564512986,-0.0152137564512986
-0.1984611,-0.00193268376632558,-1.93268376632558,-12.7105857373627,-0.0127105857373627
-0.19862449,-0.00142336762766919,-1.42336762766919,-9.36099147853457,-0.00936099147853457
-0.19833715,-9.22272712361718E-4,-0.922272712361718,-6.06546533269162,-0.00606546533269162
-0.19763218,-5.05033980390281E-4,-0.505033980390281,-3.32143200035077,-0.00332143200035077
-0.19665492,-2.18963099895418E-4,-0.218963099895418,-1.44004378938348,-0.00144004378938348
-0.19555353,-4.59733153069425E-5,-0.0459733153069425,-0.302350428984388,-3.02350428984388E-4
-0.19442286,2.83091481247452E-5,0.0283091481247452,0.186179374329498,1.86179374329498E-4
-0.19330107,5.55981980217741E-5,0.0555981980217741,0.365649919097826,3.65649919097826E-4
-0.19220775,7.07941459457593E-5,0.0707941459457593,0.46558835823292,4.65588358232919E-4
-0.19117744,9.55107507883842E-5,0.0955107507883842,0.628140830842541,6.28140830842541E-4
-0.19015075,1.32559146815463E-4,0.132559146815463,0.871795184616743,8.71795184616743E-4
-0.18913911,1.77537016662024E-4,0.177537016662024,1.16759891667559,0.00116759891667559
-0.18816672,2.37763876776222E-4,0.237763876776222,1.56368992882761,0.00156368992882761
-0.18719627,3.01862641385419E-4,0.301862641385419,1.9852451037713,0.0019852451037713
-0.18619995,3.70284162878913E-4,0.370284162878913,2.43522954011667,0.00243522954011667
-0.18520565,4.28250645519734E-4,0.428250645519734,2.81645483953557,0.00281645483953557
-0.18422545,4.91639547388128E-4,0.491639547388128,3.23334149530094,0.00323334149530094
-0.18322191,5.46827637006371E-4,0.546827637006371,3.59629427474482,0.00359629427474482
-0.1822207,5.99787986175218E-4,0.599787986175218,3.944595983757,0.003944595983757
-0.18123177,6.46542718338122E-4,0.646542718338122,4.25208551832988,0.00425208551832988
-0.18022287,7.11331013311183E-4,0.711331013311183,4.67817549351411,0.00467817549351411
-0.17921783,7.72406502619559E-4,0.772406502619559,5.07984764331511,0.00507984764331511
-0.17820705,8.33322863905377E-4,0.833322863905377,5.48047326372048,0.00548047326372048
-0.17719162,8.88670055297147E-4,0.888670055297147,5.84447239992929,0.00584447239992929
-0.17618868,9.46881419066712E-4,0.946881419066712,6.22730819695602,0.00622730819695602
-0.1751885,0.00100721428376953,1.00721428376953,6.62409636424309,0.00662409636424309
-0.17420107,0.00108284932988075,1.08284932988075,7.12152163116811,0.00712152163116811
-0.17319496,0.00115294164758477,1.15294164758477,7.58249431031528,0.00758249431031528
-0.17222832,0.00122404163438558,1.22404163438558,8.05009407697307,0.00805009407697307
-0.17124619,0.00129559249550464,1.29559249550464,8.5206590864598,0.0085206590864598
-0.17026979,0.00137515241143167,1.37515241143167,9.04389685058226,0.00904389685058226
-0.16926005,0.00146200534658824,1.46200534658824,9.61509825356604,0.00961509825356604
-0.16827285,0.00153496177851291,1.53496177851291,10.0949072110519,0.0100949072110519
-0.16727839,0.00160611490607861,1.60611490607861,10.5628564659498,0.0105628564659498
-0.16627462,0.00168424277853774,1.68424277853774,11.0766761806243,0.0110766761806243
-0.16526596,0.00175027745798515,1.75027745798515,11.5109631909361,0.0115109631909361
-0.1642468,0.00182527159186752,1.82527159186752,12.0041734021045,0.0120041734021045
-0.16326392,0.00189131061759125,1.89131061759125,12.4384889963567,0.0124384889963567
-0.16226269,0.00196262283013008,1.96262283013008,12.9074844975293,0.0129074844975293
-0.16128162,0.00202900223969967,2.02900223969967,13.3440386773855,0.0133440386773855
-0.1602702,0.00208753178331892,2.08753178331892,13.7289670320928,0.0137289670320928
