t,E,I
0.0,0.009388035673765671,-22.66034994812243
9.999999999999992e-05,0.01038803567376567,-1.7494689229465585
0.00011752072289236138,0.010563242902689285,4.487852861099185
0.00021752072289236147,0.011563242902689286,7.338129246477559
0.0003175207228923614,0.012563242902689285,9.461668783128804
0.0004175207228923613,0.013563242902689284,11.44338365196392
0.0005175207228923616,0.014563242902689287,13.32733395193796
0.0005632614110556267,0.015020649784321938,14.15425575943145
0.0006632614110556268,0.01602064978432194,14.828746999821432
0.0007632614110556269,0.01702064978432194,15.22979920270673
0.0008632614110556266,0.018020649784321937,15.559724315513778
0.0009632614110556267,0.019020649784321938,15.84718281550519
0.001063261411055627,0.020020649784321942,16.103592215380484
0.0011632614110556265,0.021020649784321936,16.334857069155554
0.0012632614110556267,0.022020649784321937,16.54445670782902
0.0013632614110556268,0.023020649784321938,16.734598497189683
0.0014632614110556283,0.024020649784321953,16.906740485286868
0.001468994229461529,0.02407797796838096,16.91608568778902
0.001568994229461529,0.02507797796838096,17.074728812935682
0.001668994229461529,0.02607797796838096,17.22742971424852
0.0017689942294615288,0.02707797796838096,17.375969400834975
0.001868994229461529,0.02807797796838096,17.521418687974336
0.0019689942294615287,0.029077977968380957,17.664481417980785
0.0020689942294615286,0.030077977968380958,17.80565014826894
0.002168994229461529,0.03107797796838096,17.945286111761913
0.002268994229461529,0.03207797796838096,18.083664113528535
0.0023689942294615285,0.03307797796838095,18.220999500222575
0.00246899422946153,0.03407797796838097,18.35746524419737
0.0025689942294615294,0.03507797796838096,18.493203241168377
0.0026689942294615293,0.03607797796838096,18.6283320524564
0.0027689942294615287,0.03707797796838096,18.762952373112643
0.002868994229461529,0.03807797796838096,18.89715099545989
0.0029689942294615287,0.03907797796838096,19.031003748098815
0.003068994229461529,0.04007797796838096,19.16457771978369
0.0031689942294615306,0.041077977968380974,19.29793297334636
0.003268994229461529,0.04207797796838096,19.431123889194705
0.00336899422946153,0.04307797796838097,19.56420023542321
0.00346899422946153,0.04407797796838097,19.69720803341341
0.0035689942294615308,0.04507797796838098,19.830190268742342
