Time (s)	WE(1).Potential (V)	WE(1).Current (A)	Scan
4.82761698781144	-0.60028076171875	-2.423095703125E-08	1
4.8576169877357	-0.60028076171875	-3.131103515625E-08	1
4.88761698765995	-0.60089111328125	-2.3162841796875E-08	1
4.91761698758421	-0.60089111328125	-2.9693603515625E-08	1
4.94761698750847	-0.6011962890625	-2.789306640625E-08	1
4.97761698743273	-0.60150146484375	-2.35595703125E-08	1
5.00761698735698	-0.601806640625	-2.52685546875E-08	1
5.03761698728124	-0.60211181640625	-2.0050048828125E-08	1
5.0676169872055	-0.6024169921875	-1.98974609375E-08	1
5.09761698712975	-0.60272216796875	-2.69775390625E-08	1
5.12761698705401	-0.60302734375	-3.3843994140625E-08	1
5.15761698697827	-0.60333251953125	-3.0242919921875E-08	1
5.18761698690253	-0.6036376953125	-2.5604248046875E-08	1
5.21761698682678	-0.60394287109375	-2.9937744140625E-08	1
5.24761698675104	-0.604248046875	-2.587890625E-08	1
5.2776169866753	-0.60455322265625	-2.6123046875E-08	1
5.30761698659956	-0.6048583984375	-2.6153564453125E-08	1
5.33761698652381	-0.60516357421875	-2.850341796875E-08	1
5.36761698644807	-0.60546875	-2.8045654296875E-08	1
5.39761698637233	-0.60577392578125	-1.9256591796875E-08	1
5.42761698629658	-0.6060791015625	-2.94189453125E-08	1
5.45761698622084	-0.60638427734375	-2.5604248046875E-08	1
5.4876169861451	-0.606689453125	-2.69775390625E-08	1
5.51761698606936	-0.60699462890625	-2.2369384765625E-08	1
5.54761698599361	-0.6072998046875	-2.3162841796875E-08	1
5.57761698591787	-0.60760498046875	-2.67333984375E-08	1
5.60761698584213	-0.60791015625	-2.81982421875E-08	1
5.63761698576639	-0.60821533203125	-2.3773193359375E-08	1
5.66761698569064	-0.60821533203125	-2.679443359375E-08	1
5.6976169856149	-0.60882568359375	-3.2012939453125E-08	1
5.72761698553916	-0.60882568359375	-2.6336669921875E-08	1
5.75761698546341	-0.609130859375	-3.021240234375E-08	1
5.78761698538767	-0.60943603515625	-2.789306640625E-08	1
5.81761698531193	-0.6097412109375	-2.410888671875E-08	1
5.84761698523619	-0.61004638671875	-2.459716796875E-08	1
5.87761698516044	-0.6103515625	-2.825927734375E-08	1
5.9076169850847	-0.61065673828125	-2.8106689453125E-08	1
5.93761698500896	-0.6109619140625	-2.5543212890625E-08	1
5.96761698493322	-0.61126708984375	-2.4566650390625E-08	1
5.99761698485747	-0.611572265625	-2.6763916015625E-08	1
6.02761698478173	-0.61187744140625	-2.7862548828125E-08	1
6.05761698470599	-0.6121826171875	-2.8564453125E-08	1
6.08761698463024	-0.61248779296875	-2.2705078125E-08	1
6.1176169845545	-0.61279296875	-2.5177001953125E-08	1
6.14761698447876	-0.61309814453125	-2.4688720703125E-08	1
6.17761698440302	-0.6134033203125	-2.8411865234375E-08	1
6.20761698432727	-0.61370849609375	-1.6510009765625E-08	1
6.23761698425153	-0.614013671875	-2.9449462890625E-08	1
6.26761698417579	-0.61431884765625	-1.7974853515625E-08	1
6.29761698410005	-0.6146240234375	-2.1087646484375E-08	1
6.3276169840243	-0.61492919921875	-2.69775390625E-08	1
6.35761698394856	-0.615234375	-2.3956298828125E-08	1
6.38761698387282	-0.61553955078125	-2.1331787109375E-08	1
6.41761698379707	-0.6158447265625	-2.6702880859375E-08	1
6.44761698372133	-0.61614990234375	-3.0426025390625E-08	1
6.47761698364559	-0.616455078125	-2.960205078125E-08	1
6.50761698356985	-0.616455078125	-2.8076171875E-08	1
6.5376169834941	-0.61676025390625	-2.593994140625E-08	1
6.56761698341836	-0.6170654296875	-2.5909423828125E-08	1
6.59761698334262	-0.61737060546875	-2.734375E-08	1
6.62761698326688	-0.61767578125	-2.398681640625E-08	1
6.65761698319113	-0.61798095703125	-2.91748046875E-08	1
6.68761698311539	-0.6182861328125	-2.6092529296875E-08	1
6.71761698303965	-0.61859130859375	-2.9205322265625E-08	1
