Time (s)	WE(1).Potential (V)	WE(1).Current (A)	Scan
4.9880419874064	-0.60028076171875	-2.50244140625E-08	1
5.01804198733066	-0.6005859375	-2.4078369140625E-08	1
5.04804198725492	-0.60089111328125	-2.47802734375E-08	1
5.07804198717918	-0.6011962890625	-2.9327392578125E-08	1
5.10804198710343	-0.6011962890625	-2.05078125E-08	1
5.13804198702769	-0.60150146484375	-2.3895263671875E-08	1
5.16804198695195	-0.601806640625	-2.2918701171875E-08	1
5.19804198687621	-0.60211181640625	-2.0050048828125E-08	1
5.22804198680046	-0.6024169921875	-2.5360107421875E-08	1
5.25804198672472	-0.60272216796875	-2.6336669921875E-08	1
5.28804198664898	-0.60302734375	-2.4139404296875E-08	1
5.31804198657323	-0.60333251953125	-2.4200439453125E-08	1
5.34804198649749	-0.6036376953125	-2.203369140625E-08	1
5.37804198642175	-0.60394287109375	-2.4566650390625E-08	1
5.40804198634601	-0.604248046875	-2.20947265625E-08	1
5.43804198627026	-0.60455322265625	-2.8045654296875E-08	1
5.46804198619452	-0.6048583984375	-2.252197265625E-08	1
5.49804198611878	-0.60516357421875	-2.276611328125E-08	1
5.52804198604304	-0.60546875	-2.294921875E-08	1
5.55804198596729	-0.60577392578125	-3.009033203125E-08	1
5.58804198589155	-0.6060791015625	-2.691650390625E-08	1
5.61804198581581	-0.60638427734375	-2.203369140625E-08	1
5.64804198574006	-0.606689453125	-2.7099609375E-08	1
5.67804198566432	-0.60699462890625	-2.2613525390625E-08	1
5.70804198558858	-0.6072998046875	-2.2308349609375E-08	1
5.73804198551284	-0.60760498046875	-2.655029296875E-08	1
5.76804198543709	-0.60791015625	-1.812744140625E-08	1
5.79804198536135	-0.60821533203125	-2.4169921875E-08	1
5.82804198528561	-0.6085205078125	-2.9205322265625E-08	1
5.85804198520987	-0.60882568359375	-2.349853515625E-08	1
5.88804198513412	-0.609130859375	-2.23388671875E-08	1
5.91804198505838	-0.60943603515625	-2.20947265625E-08	1
5.94804198498264	-0.6097412109375	-2.2613525390625E-08	1
5.97804198490689	-0.61004638671875	-2.1209716796875E-08	1
6.00804198483115	-0.61004638671875	-2.4688720703125E-08	1
6.03804198475541	-0.6103515625	-2.056884765625E-08	1
6.06804198467967	-0.61065673828125	-2.1575927734375E-08	1
6.09804198460392	-0.6109619140625	-2.5604248046875E-08	1
6.12804198452818	-0.61126708984375	-2.532958984375E-08	1
6.15804198445244	-0.611572265625	-2.3193359375E-08	1
6.1880419843767	-0.61187744140625	-2.69775390625E-08	1
6.21804198430095	-0.6121826171875	-1.9744873046875E-08	1
6.24804198422521	-0.61248779296875	-2.593994140625E-08	1
6.27804198414947	-0.61279296875	-1.7791748046875E-08	1
6.30804198407373	-0.61309814453125	-2.325439453125E-08	1
6.33804198399798	-0.6134033203125	-2.606201171875E-08	1
6.36804198392224	-0.61370849609375	-2.8656005859375E-08	1
6.3980419838465	-0.614013671875	-2.3681640625E-08	1
6.42804198377075	-0.61431884765625	-2.734375E-08	1
6.45804198369501	-0.6146240234375	-2.2491455078125E-08	1
6.48804198361927	-0.61492919921875	-2.691650390625E-08	1
6.51804198354353	-0.615234375	-2.2491455078125E-08	1
6.54804198346778	-0.61553955078125	-2.716064453125E-08	1
6.57804198339204	-0.6158447265625	-2.044677734375E-08	1
