Time (s)	WE(1).Potential (V)	WE(1).Current (A)	Scan
6.0704429846736	-0.5999755859375	-2.6275634765625E-08	1
6.10044298459786	-0.60028076171875	-1.8890380859375E-08	1
6.13044298452212	-0.6005859375	-2.2125244140625E-08	1
6.16044298444638	-0.60089111328125	-2.4261474609375E-08	1
6.19044298437063	-0.6011962890625	-2.008056640625E-08	1
6.22044298429489	-0.60150146484375	-2.386474609375E-08	1
6.25044298421915	-0.601806640625	-2.3223876953125E-08	1
6.28044298414341	-0.60211181640625	-2.1759033203125E-08	1
6.31044298406766	-0.6024169921875	-2.288818359375E-08	1
6.34044298399192	-0.60272216796875	-2.4444580078125E-08	1
6.37044298391618	-0.60302734375	-2.7069091796875E-08	1
6.40044298384043	-0.60333251953125	-2.16064453125E-08	1
6.43044298376469	-0.6036376953125	-2.23388671875E-08	1
6.46044298368895	-0.60394287109375	-2.99072265625E-08	1
6.49044298361321	-0.604248046875	-3.0303955078125E-08	1
6.52044298353746	-0.60455322265625	-2.5360107421875E-08	1
6.55044298346172	-0.6048583984375	-1.7425537109375E-08	1
6.58044298338598	-0.60516357421875	-2.362060546875E-08	1
6.61044298331024	-0.60546875	-2.1270751953125E-08	1
6.64044298323449	-0.60577392578125	-2.490234375E-08	1
6.67044298315875	-0.6060791015625	-1.9012451171875E-08	1
6.70044298308301	-0.60638427734375	-2.838134765625E-08	1
6.73044298300727	-0.606689453125	-2.081298828125E-08	1
6.76044298293152	-0.60699462890625	-2.374267578125E-08	1
6.79044298285578	-0.6072998046875	-2.484130859375E-08	1
6.82044298278004	-0.60760498046875	-2.1484375E-08	1
6.85044298270429	-0.60791015625	-2.8472900390625E-08	1
6.88044298262855	-0.60821533203125	-3.0181884765625E-08	1
6.91044298255281	-0.6085205078125	-2.2735595703125E-08	1
6.94044298247707	-0.60882568359375	-2.6214599609375E-08	1
6.97044298240132	-0.609130859375	-2.3193359375E-08	1
7.00044298232558	-0.609130859375	-2.5665283203125E-08	1
7.03044298224984	-0.60943603515625	-1.86767578125E-08	1
7.0604429821741	-0.6097412109375	-2.3468017578125E-08	1
7.09044298209835	-0.61004638671875	-2.0355224609375E-08	1
7.12044298202261	-0.6103515625	-2.5146484375E-08	1
7.15044298194687	-0.61065673828125	-2.1575927734375E-08	1
7.18044298187112	-0.6109619140625	-2.4017333984375E-08	1
7.21044298179538	-0.61126708984375	-2.618408203125E-08	1
7.24044298171964	-0.611572265625	-2.9296875E-08	1
7.2704429816439	-0.61187744140625	-2.691650390625E-08	1
7.30044298156815	-0.6121826171875	-2.40478515625E-08	1
7.33044298149241	-0.61248779296875	-2.9754638671875E-08	1
7.36044298141667	-0.61279296875	-2.362060546875E-08	1
7.39044298134093	-0.61309814453125	-2.35595703125E-08	1
7.42044298126518	-0.6134033203125	-2.581787109375E-08	1
7.45044298118944	-0.61370849609375	-2.6702880859375E-08	1
7.4804429811137	-0.614013671875	-1.9439697265625E-08	1
7.51044298103795	-0.61431884765625	-2.9693603515625E-08	1
7.54044298096221	-0.6146240234375	-2.5634765625E-08	1
7.57044298088647	-0.61492919921875	-2.42919921875E-08	1
7.60044298081073	-0.615234375	-2.2491455078125E-08	1
7.63044298073498	-0.61553955078125	-2.7587890625E-08	1
7.66044298065924	-0.6158447265625	-2.301025390625E-08	1
7.6904429805835	-0.61614990234375	-3.0975341796875E-08	1
7.72044298050776	-0.616455078125	-2.6275634765625E-08	1
7.75044298043201	-0.61676025390625	-2.4810791015625E-08	1
7.78044298035627	-0.6170654296875	-2.28271484375E-08	1
7.81044298028053	-0.6170654296875	-2.60009765625E-08	1
7.84044298020478	-0.61737060546875	-1.6571044921875E-08	1
7.87044298012904	-0.61767578125	-2.8472900390625E-08	1
7.9004429800533	-0.61798095703125	-2.7069091796875E-08	1
7.93044297997756	-0.6182861328125	-2.490234375E-08	1
7.96044297990181	-0.61859130859375	-2.1942138671875E-08	1
7.99044297982607	-0.618896484375	-2.349853515625E-08	1
8.02044297975033	-0.61920166015625	-2.4200439453125E-08	1
8.05044297967459	-0.6195068359375	-2.0416259765625E-08	1
8.08044297959884	-0.61981201171875	-2.239990234375E-08	1
8.1104429795231	-0.6201171875	-2.923583984375E-08	1
8.14044297944736	-0.62042236328125	-2.520751953125E-08	1
8.17044297937161	-0.6207275390625	-2.2674560546875E-08	1
8.20044297929587	-0.62103271484375	-2.130126953125E-08	1
8.23044297922013	-0.621337890625	-2.5909423828125E-08	1
8.26044297914439	-0.62164306640625	-2.7099609375E-08	1
8.29044297906864	-0.6219482421875	-3.1646728515625E-08	1
8.3204429789929	-0.62225341796875	-2.1392822265625E-08	1
8.35044297891716	-0.62255859375	-2.6397705078125E-08	1
8.38044297884142	-0.62286376953125	-1.7120361328125E-08	1
8.41044297876567	-0.6231689453125	-2.813720703125E-08	1
8.44044297868993	-0.62347412109375	-1.9012451171875E-08	1
8.47044297861419	-0.623779296875	-2.4871826171875E-08	1
8.50044297853844	-0.623779296875	-1.6448974609375E-08	1
8.5304429784627	-0.62408447265625	-3.2440185546875E-08	1
8.56044297838696	-0.6243896484375	-2.0904541015625E-08	1
8.59044297831122	-0.625	-2.9693603515625E-08	1
8.62044297823547	-0.62530517578125	-1.94091796875E-08	1
8.65044297815973	-0.6256103515625	-2.947998046875E-08	1
8.68044297808399	-0.62591552734375	-1.8035888671875E-08	1
8.71044297800825	-0.62591552734375	-3.0364990234375E-08	1
8.7404429779325	-0.626220703125	-2.1087646484375E-08	1
8.77044297785676	-0.62652587890625	-2.899169921875E-08	1
8.80044297778102	-0.62713623046875	-2.1759033203125E-08	1
8.83044297770527	-0.62713623046875	-3.0364990234375E-08	1
8.86044297762953	-0.62744140625	-1.5625E-08	1
8.89044297755379	-0.62774658203125	-2.64892578125E-08	1
8.92044297747805	-0.6280517578125	-2.0782470703125E-08	1
8.9504429774023	-0.62835693359375	-2.978515625E-08	1
8.98044297732656	-0.628662109375	-1.8829345703125E-08	1
9.01044297725082	-0.62896728515625	-3.2257080078125E-08	1
9.04044297717508	-0.6292724609375	-2.1697998046875E-08	1
9.07044297709933	-0.62957763671875	-2.569580078125E-08	1
9.10044297702359	-0.6298828125	-1.8524169921875E-08	1
9.13044297694785	-0.63018798828125	-2.3406982421875E-08	1
9.1604429768721	-0.6304931640625	-2.3773193359375E-08	1
9.19044297679636	-0.63079833984375	-2.838134765625E-08	1
9.22044297672062	-0.631103515625	-1.9989013671875E-08	1
9.25044297664488	-0.63140869140625	-2.3895263671875E-08	1
9.28044297656913	-0.6317138671875	-2.227783203125E-08	1
9.31044297649339	-0.63201904296875	-2.435302734375E-08	1
9.34044297641765	-0.63232421875	-2.2918701171875E-08	1
9.37044297634191	-0.63262939453125	-2.6397705078125E-08	1
9.40044297626616	-0.6329345703125	-2.410888671875E-08	1
9.43044297619042	-0.63323974609375	-2.5360107421875E-08	1
9.46044297611468	-0.633544921875	-2.093505859375E-08	1
9.49044297603893	-0.63385009765625	-2.7435302734375E-08	1
9.52044297596319	-0.6341552734375	-2.7801513671875E-08	1
9.55044297588745	-0.6341552734375	-2.28271484375E-08	1
9.58044297581171	-0.63446044921875	-2.01416015625E-08	1
9.61044297573596	-0.63507080078125	-2.9449462890625E-08	1
9.64044297566022	-0.63507080078125	-2.899169921875E-08	1
9.67044297558448	-0.6353759765625	-2.838134765625E-08	1
9.70044297550874	-0.63568115234375	-2.142333984375E-08	1
9.73044297543299	-0.635986328125	-3.515625E-08	1
9.76044297535725	-0.63629150390625	-1.9683837890625E-08	1
9.79044297528151	-0.6365966796875	-2.9541015625E-08	1
9.82044297520576	-0.63690185546875	-2.3681640625E-08	1
9.85044297513002	-0.63720703125	-3.1005859375E-08	1
9.88044297505428	-0.63751220703125	-2.0294189453125E-08	1
9.91044297497854	-0.6378173828125	-2.374267578125E-08	1
9.94044297490279	-0.63812255859375	-2.18505859375E-08	1
9.97044297482705	-0.638427734375	-2.35595703125E-08	1
10.0004429747513	-0.63873291015625	-2.4383544921875E-08	1
10.0304429746756	-0.6390380859375	-2.7923583984375E-08	1
10.0604429745998	-0.63934326171875	-1.9744873046875E-08	1
10.0904429745241	-0.6396484375	-2.325439453125E-08	1
10.1204429744483	-0.63995361328125	-2.392578125E-08	1
10.1504429743726	-0.6402587890625	-3.570556640625E-08	1
10.1804429742969	-0.64056396484375	-1.9927978515625E-08	1
