identifier,electrolyte_type,component_names,existing_yaml_tags,inferred_svg_tags,yaml_file,svg_file
pajkossy_1996_impedance_209_f8a_dashed,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_dashed.yaml,literature/svgdigitizer/pajkossy_1996_impedance_209/pajkossy_1996_impedance_209_f8a_dashed.svg
pajkossy_2001_double_3063_f2_inset,aqueous,HClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f2_inset.yaml,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f2_inset.svg
pajkossy_2001_double_3063_f5a_solid,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f5a_solid.yaml,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f5a_solid.svg
pajkossy_2001_double_3063_f6a_solid,aqueous,NaF; water,BCV,BCV,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f6a_solid.yaml,literature/svgdigitizer/pajkossy_2001_double_3063/pajkossy_2001_double_3063_f6a_solid.svg
rudnev_2020_structural_501_f2c_solid,ionic liquid,BMPyr-TFSI,,BCV,literature/svgdigitizer/rudnev_2020_structural_501/rudnev_2020_structural_501_f2c_solid.yaml,literature/svgdigitizer/rudnev_2020_structural_501/rudnev_2020_structural_501_f2c_solid.svg
schnaidt_2017_combined_4166_f2_solid,aqueous,H2O; H2SO4; N2,BCV,BCV,literature/svgdigitizer/schnaidt_2017_combined_4166/schnaidt_2017_combined_4166_f2_solid.yaml,literature/svgdigitizer/schnaidt_2017_combined_4166/schnaidt_2017_combined_4166_f2_solid.svg
shi_1996_chloride_225_f1_dotted,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1_dotted.yaml,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1_dotted.svg
shi_1996_chloride_225_f1_solid,aqueous,KClO4; water; KCl,BCV,"BCV, SHA",literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1_solid.yaml,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1_solid.svg
shi_1996_chloride_225_f1a_dashed,aqueous,KClO4; water,BCV,BCV,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1a_dashed.yaml,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1a_dashed.svg
shi_1996_chloride_225_f1a_solid,aqueous,KClO4; water; KCl,BCV,"BCV, SHA",literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1a_solid.yaml,literature/svgdigitizer/shi_1996_chloride_225/shi_1996_chloride_225_f1a_solid.svg
wandlowski_1996_structural_10277_f1a_dashed,aqueous,NaClO4; water,BCV,BCV,literature/svgdigitizer/wandlowski_1996_structural_10277/wandlowski_1996_structural_10277_f1a_dashed.yaml,literature/svgdigitizer/wandlowski_1996_structural_10277/wandlowski_1996_structural_10277_f1a_dashed.svg
wandlowski_1996_structural_10277_f1a_solid,aqueous,NaBr; water,BCV,"BCV, SHA",literature/svgdigitizer/wandlowski_1996_structural_10277/wandlowski_1996_structural_10277_f1a_solid.yaml,literature/svgdigitizer/wandlowski_1996_structural_10277/wandlowski_1996_structural_10277_f1a_solid.svg
wang_1996_ordered_6672_f1_solid,aqueous,KI; water,BCV,"BCV, SHA",literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f1_solid.yaml,literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f1_solid.svg
wang_1996_ordered_6672_f2a_solid,aqueous,KI; water,BCV,"BCV, SHA",literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f2a_solid.yaml,literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f2a_solid.svg
wang_1996_ordered_6672_f2b_solid,aqueous,CsI; water,BCV,"BCV, SHA",literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f2b_solid.yaml,literature/svgdigitizer/wang_1996_ordered_6672/wang_1996_ordered_6672_f2b_solid.svg
wang_1997_lateral_1_f1a_solid,aqueous,KBr; water; KClO4,BCV,"BCV, SHA",literature/svgdigitizer/wang_1997_lateral_1/wang_1997_lateral_1_f1a_solid.yaml,literature/svgdigitizer/wang_1997_lateral_1/wang_1997_lateral_1_f1a_solid.svg
zei_1991_structure_295_f3a_solid,aqueous,NaCl; water,BCV,"BCV, SHA",literature/svgdigitizer/zei_1991_structure_295/zei_1991_structure_295_f3a_solid.yaml,literature/svgdigitizer/zei_1991_structure_295/zei_1991_structure_295_f3a_solid.svg
zei_1991_structure_295_f3b_solid,aqueous,NaBr; water,BCV,"BCV, SHA",literature/svgdigitizer/zei_1991_structure_295/zei_1991_structure_295_f3b_solid.yaml,literature/svgdigitizer/zei_1991_structure_295/zei_1991_structure_295_f3b_solid.svg
