identifier,electrolyte_type,component_names,svg_tags
briega-martos_2020_hydrogen_135452_f3_black,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_blue,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_brown,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_darkblue,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_green,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_olive,aqueous,water; HClO4,BCV
briega-martos_2020_hydrogen_135452_f3_purple,aqueous,water; HClO4,BCV
briega-martos_2021_cation_48_f1cs_black,aqueous,CsF; water; HClO4,BCV
briega-martos_2021_cation_48_f1cs_blue,aqueous,CsF; water; HClO4,BCV
briega-martos_2021_cation_48_f1cs_green,aqueous,CsF; water; HClO4,BCV
briega-martos_2021_cation_48_f1cs_pink,aqueous,CsF; water; HClO4,BCV
briega-martos_2021_cation_48_f1cs_red,aqueous,CsF; water; HClO4,BCV
briega-martos_2021_cation_48_f1li_black,aqueous,LiF; water; HClO4,BCV
briega-martos_2021_cation_48_f1li_blue,aqueous,LiF; water; HClO4,BCV
briega-martos_2021_cation_48_f1li_green,aqueous,LiF; water; HClO4,BCV
briega-martos_2021_cation_48_f1li_pink,aqueous,LiF; water; HClO4,BCV
briega-martos_2021_cation_48_f1li_red,aqueous,LiF; water; HClO4,BCV
briega-martos_2021_cation_48_f1na_black,aqueous,NaF; water; HClO4,BCV
briega-martos_2021_cation_48_f1na_blue,aqueous,NaF; water; HClO4,BCV
briega-martos_2021_cation_48_f1na_green,aqueous,NaF; water; HClO4,BCV
briega-martos_2021_cation_48_f1na_pink,aqueous,NaF; water; HClO4,BCV
briega-martos_2021_cation_48_f1na_red,aqueous,NaF; water; HClO4,BCV
chen_1999_iodide_342_f1a_solid,aqueous,KClO4; KOH; H2O; KI,"BCV, SHA"
chen_2024_deconvolution_4958_f1a_grey,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f1b_grey,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f3b_black,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f3b_orange,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f3b_red,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f3c_green,aqueous,water; HClO4,BCV
chen_2024_deconvolution_4958_f3c_olive,aqueous,water; HClO4,BCV
clavilier_1980_preparation_205_f2_solid,aqueous,water; H2SO4,BCV
clavilier_1980_role_211_f1_black,aqueous,water; H2SO4,BCV
clavilier_1980_role_211_f2_black,aqueous,water; HClO4,BCV
clavilier_1990_situ_1_f1_solid,aqueous,water; H2SO4,BCV
clavilier_1990_situ_1_f5_10-10-9,aqueous,water; H2SO4,BCV
clavilier_1990_situ_1_f5_110,aqueous,water; H2SO4,BCV
clavilier_1990_situ_1_f5_554,aqueous,water; H2SO4,BCV
clavilier_1990_situ_1_f5_775,aqueous,water; H2SO4,BCV
cuesta_2000_adsorption_5684_f1a_black,aqueous,H2O; H2SO4,BCV
cuesta_2000_adsorption_5684_f1b_black,aqueous,H2O; H3PO4,BCV
cuesta_2000_adsorption_5684_f3a_black,aqueous,H2O; H2SO4,BCV
cuesta_2000_adsorption_5684_f3b_black,aqueous,H2O; H3PO4,BCV
domke_2003_determination_115_f2_dash-dot-dot,aqueous,water; HClO4; Ar,BCV
domke_2003_determination_115_f2_dash-dot,aqueous,water; HClO4; Ar,BCV
