t,E,j
0.0,-1.1025960718187748,-2.5341073679105133
0.19999999999997797,-1.1035960718187747,-2.5337796435137956
0.40000000000000036,-1.1045960718187748,-2.5332837143584035
0.5999999999999783,-1.1055960718187747,-2.53261440457633
0.8000000000000007,-1.1065960718187748,-2.531766198708984
0.9999999999999787,-1.1075960718187747,-2.5307332074269033
1.200000000000001,-1.1085960718187748,-2.529509128536039
1.399999999999979,-1.1095960718187747,-2.5280872024415206
1.6000000000000014,-1.1105960718187748,-2.5264601610602133
1.7999999999999794,-1.1115960718187747,-2.524620168947132
2.0000000000000018,-1.1125960718187748,-2.522558755113486
2.1999999999999797,-1.1135960718187747,-2.520266733646509
2.400000000000002,-1.1145960718187748,-2.5177341107665776
2.59999999999998,-1.1155960718187747,-2.5149499753387143
2.8000000000000025,-1.1165960718187748,-2.5119023690416724
2.9999999999999805,-1.1175960718187747,-2.5085781313151148
3.200000000000003,-1.1185960718187749,-2.5049627127482896
3.399999999999981,-1.1195960718187747,-2.5010399485876813
3.600000000000003,-1.1205960718187749,-2.4967917812970315
3.799999999999981,-1.1215960718187747,-2.492197917254105
4.0000000000000036,-1.1225960718187749,-2.4872353971798726
4.1999999999999815,-1.1235960718187747,-2.481878051925396
4.400000000000004,-1.1245960718187749,-2.476095803431636
4.599999999999982,-1.1255960718187747,-2.469853752779906
4.800000000000004,-1.1265960718187749,-2.4631109694341946
4.999999999999982,-1.1275960718187747,-2.4558188512903105
5.200000000000005,-1.1285960718187749,-2.4479188516422172
5.399999999999983,-1.1295960718187747,-2.439339243069935
5.600000000000005,-1.1305960718187749,-2.4299903622006784
5.800000000000027,-1.131596071818775,-2.41975735248846
6.000000000000005,-1.1325960718187749,-2.4084885643271186
6.199999999999983,-1.1335960718187748,-2.3959759097827753
6.400000000000006,-1.1345960718187749,-2.3819190138268223
6.599999999999984,-1.1355960718187748,-2.3658528836602244
6.800000000000006,-1.1365960718187749,-2.3469793821143154
6.999999999999984,-1.1375960718187748,-2.323673835640099
7.200000000000006,-1.1385960718187749,-2.29121746954202
7.290888553190378,-1.1390505145847267,-2.1956728221479502
7.4908885531904,-1.1380505145847266,-2.156996504100643
7.566751551082174,-1.1376711995952677,-2.147574221879667
7.766751551082152,-1.1366711995952679,-2.1401513019360645
7.966751551082174,-1.1356711995952677,-2.1366731527842546
8.166751551082152,-1.1346711995952679,-2.1338198145998413
8.366751551082174,-1.1336711995952677,-2.1309369103078124
8.566751551082152,-1.1326711995952679,-2.127320098707415
8.74484769398336,-1.1317807188807618,-2.1203030197541377
8.798398996091938,-1.1320484753913047,-1.531017473965722
8.998398996091916,-1.1310484753913048,-1.4966492839807217
9.198398996091939,-1.1300484753913047,-1.4720649451153918
9.398398996091917,-1.1290484753913048,-1.4515750340612679
9.59839899609194,-1.1280484753913047,-1.4335085877236315
9.798398996091917,-1.1270484753913048,-1.417097602795978
9.99839899609194,-1.1260484753913047,-1.4019130513202516
10.198398996091917,-1.1250484753913048,-1.3876862995821646
10.39839899609194,-1.1240484753913047,-1.374235900721606
10.598398996091918,-1.1230484753913048,-1.3614324637970696
10.79839899609194,-1.1220484753913047,-1.3491798713548044
10.998398996091918,-1.1210484753913048,-1.3374044081610563
11.19839899609194,-1.1200484753913047,-1.3260480730136206
11.398398996091919,-1.1190484753913048,-1.3150642595879458
11.598398996091941,-1.1180484753913047,-1.3044148547035186
11.798398996091919,-1.1170484753913048,-1.2940682236973966
11.998398996091941,-1.1160484753913047,-1.2839977722859781
12.19839899609192,-1.1150484753913048,-1.274180895214836
12.398398996091942,-1.1140484753913047,-1.2645981916456017
12.59839899609192,-1.1130484753913048,-1.2552328689366237
12.798398996091942,-1.1120484753913047,-1.2460702823040346
12.99839899609192,-1.1110484753913048,-1.2370975743239179
13.198398996091942,-1.1100484753913047,-1.2283033890194242
13.398398996091965,-1.1090484753913046,-1.2196776424995688
13.598398996091943,-1.1080484753913047,-1.2112113370555195
13.798398996091965,-1.1070484753913046,-1.2028964090609788
13.998398996091943,-1.1060484753913047,-1.194725603461039
14.198398996091965,-1.1050484753913046,-1.186692369387678
14.398398996091943,-1.1040484753913047,-1.178790772719638
14.598398996091921,-1.1030484753913048,-1.1710154223500304
14.798398996091944,-1.1020484753913047,-1.1633614076322203
14.998398996091922,-1.1010484753913048,-1.1558242450091953
15.198398996091944,-1.1000484753913047,-1.148399832240019
15.398398996091922,-1.0990484753913048,-1.1410844089518377
15.598398996091944,-1.0980484753913047,-1.1338745224908358
15.798398996091922,-1.0970484753913048,-1.1267669982376236
15.998398996091945,-1.0960484753913047,-1.1197589137043615
16.198398996091925,-1.0950484753913048,-1.1128475758517844
16.398398996091945,-1.0940484753913047,-1.1060305011611689
16.598398996091923,-1.0930484753913048,-1.0993053980744507
16.798398996091947,-1.0920484753913047,-1.0926701514791222
16.99839899609192,-1.0910484753913048,-1.0861228089663475
17.198398996091946,-1.0900484753913047,-1.0796615686332418
17.398398996091924,-1.0890484753913048,-1.0732847682353508
17.598398996091944,-1.0880484753913047,-1.0669908755244744
17.798398996091926,-1.0870484753913048,-1.0607784796312372
17.998398996091947,-1.0860484753913047,-1.0546462833721257
18.198398996091925,-1.0850484753913048,-1.0485930963778132
18.39839899609195,-1.0840484753913047,-1.0426178289540313
