E / V,j / uA cm-2
0.0669,-1.717
0.0673,0.1728
0.0676,2.4837
0.0679,6.8357
0.0682,11.4684
0.0685,15.8959
0.0688,20.1939
0.0691,23.0124
0.0694,25.1505
0.0697,26.9
0.0701,27.4723
0.0703,28.1526
0.0706,28.6602
0.0709,28.5306
0.0712,28.9625
0.0715,29.1137
0.0718,29.0165
0.0721,29.5241
0.0724,29.5133
0.0727,29.5457
0.073,30.0316
0.0733,29.8696
0.0736,30.0316
0.0739,30.388
0.0742,30.1504
0.0745,30.4636
0.0748,30.6255
0.0751,30.3772
0.0754,30.7768
0.0757,30.7552
0.076,30.6255
0.0763,31.0575
0.0766,30.8955
0.0769,30.9279
0.0772,31.2735
0.0776,30.9603
0.0778,31.1223
0.0781,31.3275
0.0784,31.0359
0.0787,31.3491
0.079,31.3707
0.0793,31.1331
0.0796,31.5111
0.0799,31.3815
0.0802,31.2951
0.0805,31.6622
0.0808,31.3707
0.0811,31.4355
0.0814,31.6947
0.0817,31.3707
0.082,31.6082
0.0823,31.6947
0.0827,31.3707
0.0829,31.6947
0.0832,31.6191
0.0835,31.4463
0.0838,31.835
0.0842,31.6082
0.0845,31.5651
0.0847,31.8567
0.0851,31.5111
0.0853,31.6407
0.0856,31.8027
0.086,31.4571
0.0863,31.727
0.0865,31.727
0.0868,31.4463
0.0871,31.8027
0.0874,31.6407
0.0878,31.5327
0.088,31.8782
0.0883,31.5759
0.0886,31.6191
0.0889,31.8674
0.0892,31.5003
0.0896,31.7054
0.0898,31.781
0.0902,31.4571
0.0904,31.7702
0.0907,31.6622
0.091,31.4355
0.0914,31.781
0.0917,31.5543
0.092,31.5003
0.0922,31.8027
0.0925,31.4463
0.0928,31.5651
0.0932,31.7379
0.0935,31.3923
0.0938,31.6731
0.094,31.6731
0.0943,31.3815
0.0946,31.7162
0.0949,31.5327
0.0953,31.3923
0.0955,31.7379
0.0958,31.4355
0.0961,31.4787
0.0964,31.7162
0.0968,31.3491
0.097,31.5543
0.0973,31.6407
0.0976,31.3059
0.0979,31.6191
0.0982,31.5219
0.0986,31.3059
0.0988,31.6731
0.0991,31.4355
0.0995,31.3707
0.0997,31.6731
0.1001,31.3275
0.1004,31.4571
0.1006,31.6299
0.101,31.2735
0.1013,31.5219
0.1015,31.5111
0.1019,31.2195
0.1021,31.5759
0.1024,31.4139
0.1028,31.2951
0.103,31.6515
0.1033,31.3707
0.1037,31.4247
0.1039,31.6731
0.1043,31.3059
0.1045,31.4787
0.1048,31.5651
0.1051,31.2411
0.1055,31.5651
0.1058,31.4787
0.1061,31.2519
0.1063,31.5975
