E / V,j / uA cm-2
0.1592,30.4673
0.1595,30.4038
0.1598,30.3336
0.1598,30.2608
0.1601,30.1937
0.1604,30.1361
0.1607,30.0853
0.1614,30.0443
0.1614,30.0133
0.162,29.9947
0.1623,29.99
0.1623,30.0007
0.1626,30.0274
0.1629,30.0694
0.1632,30.1248
0.1635,30.1903
0.1638,30.2639
0.1644,30.3409
0.1647,30.4195
0.1647,30.4954
0.165,30.5652
0.1653,30.6277
0.1656,30.6812
0.1659,30.7253
0.1662,30.7599
0.1665,30.7854
0.1668,30.8039
0.1671,30.8155
0.1675,30.8178
0.1678,30.8093
0.1681,30.7887
0.1684,30.7576
0.1687,30.7177
0.169,30.6704
0.1693,30.6179
0.1696,30.5633
0.1699,30.5089
0.1702,30.4576
0.1705,30.4128
0.1708,30.3766
0.1711,30.3511
0.1714,30.3398
0.1717,30.3438
0.172,30.3659
0.1723,30.4078
0.1726,30.4707
0.1729,30.5542
0.1733,30.6581
0.1736,30.7797
0.1739,30.9134
0.1742,31.0464
0.1745,31.1705
0.1748,31.28
0.1751,31.3685
0.1754,31.4285
0.1757,31.4554
0.176,31.4471
0.1763,31.4039
0.1766,31.3258
0.1769,31.2166
0.1772,31.0825
0.1775,30.9277
0.1775,30.7603
0.1781,30.5901
0.1784,30.4234
0.1787,30.2707
0.1791,30.1394
0.1791,30.035
0.1794,29.9623
0.1797,29.9252
0.18,29.921
0.1803,29.9478
0.1806,30.0012
0.1809,30.0802
0.1812,30.1774
0.1815,30.2849
0.1818,30.397
0.1821,30.5104
0.1824,30.6198
0.1827,30.7196
0.183,30.8041
0.1833,30.8713
0.1836,30.9186
0.1839,30.9454
0.1842,30.9535
0.1846,30.9449
0.1848,30.9214
0.1852,30.8857
0.1855,30.8393
0.1858,30.7851
0.1858,30.7273
0.1864,30.6691
0.1867,30.6128
0.187,30.5621
0.187,30.5183
0.1876,30.4822
0.1876,30.4518
0.1879,30.4295
0.1882,30.4153
0.1885,30.407
0.1888,30.4036
0.1894,30.4001
0.1894,30.3966
0.1897,30.3948
0.19,30.3951
0.1904,30.401
0.1907,30.4128
0.191,30.4301
0.1913,30.4524
0.1916,30.4769
0.1919,30.5025
0.1922,30.5297
0.1925,30.5573
0.1928,30.5835
0.1931,30.6063
0.1934,30.623
0.1937,30.6312
0.194,30.6289
0.1943,30.6134
0.1946,30.5835
0.1949,30.5377
0.1952,30.4777
0.1955,30.4047
0.1958,30.3182
0.1961,30.2236
0.1965,30.1232
0.1968,30.0214
0.1971,29.9247
0.1974,29.8343
0.1977,29.7534
0.198,29.6849
0.1983,29.6311
0.1986,29.5946
0.1989,29.5783
0.1992,29.5821
0.1995,29.6058
0.1998,29.6478
0.2001,29.7063
0.2004,29.7778
0.2007,29.8592
0.201,29.9458
0.2013,30.0349
0.2016,30.1212
0.2019,30.2034
0.2022,30.2738
0.2026,30.3297
0.2029,30.3679
0.2032,30.3869
0.2035,30.3877
0.2038,30.3701
0.2041,30.3333
0.2044,30.2807
0.2047,30.216
0.205,30.1427
0.2053,30.065
0.2056,29.9869
0.2059,29.9119
0.2062,29.8425
0.2065,29.7811
0.2068,29.728
0.2068,29.6836
0.2071,29.6475
0.2074,29.6198
0.2077,29.6022
0.208,29.5936
0.2087,29.5953
0.209,29.6058
0.209,29.6245
0.2093,29.6513
0.2099,29.6849
0.2099,29.7231
0.2102,29.7642
0.2105,29.8091
0.2108,29.8591
0.2111,29.9143
0.2114,29.9731
0.2117,30.0341
0.212,30.0944
0.2123,30.1505
0.2126,30.1978
0.2129,30.2309
0.2132,30.2436
0.2135,30.2365
0.2139,30.2076
0.2141,30.1589
0.2145,30.0933
0.2148,30.0111
0.2151,29.9154
0.2154,29.81
0.2157,29.6966
0.216,29.5805
0.2163,29.4655
0.2166,29.3553
0.2169,29.2564
0.2172,29.1742
0.2175,29.1124
0.2178,29.0724
0.2181,29.0542
0.2184,29.0573
0.2187,29.0792
0.219,29.1157
0.2193,29.163
0.2196,29.2169
0.2199,29.2736
0.2202,29.3344
0.2206,29.3952
0.2209,29.4537
0.2212,29.5074
0.2215,29.5514
0.2218,29.5841
0.2221,29.6059
0.2224,29.614
0.2227,29.6104
0.223,29.5947
0.2233,29.5682
0.2236,29.5333
0.2239,29.4913
0.2242,29.4445
0.2245,29.3946
0.2248,29.3436
0.2251,29.2944
0.2254,29.2474
0.2258,29.2033
0.226,29.1617
0.2264,29.1229
0.2267,29.0858
0.227,29.054
0.227,29.026
0.2276,29.0012
0.2279,28.9789
0.2282,28.9579
0.2282,28.9386
0.2288,28.9211
0.2291,28.9041
0.2294,28.8884
0.2294,28.8747
0.23,28.8636
0.2303,28.8568
0.2306,28.8555
0.2309,28.861
0.2309,28.8736
0.2312,28.893
0.2315,28.918
0.2319,28.9434
0.2322,28.9654
0.2328,28.979
0.2328,28.9833
0.2331,28.9775
0.2334,28.9628
0.2337,28.9395
0.234,28.9079
0.2343,28.869
0.2346,28.8245
0.2349,28.7752
0.2352,28.7232
0.2355,28.6703
0.2358,28.6186
0.2361,28.5712
0.2364,28.5297
0.2367,28.4966
0.237,28.4728
0.2373,28.4594
0.2376,28.4563
0.238,28.4617
0.2383,28.4723
0.2386,28.4833
