E / V,j / uA cm-2
0.3777,12.4187
0.378,12.0839
0.3783,12.2243
0.3786,12.3647
0.3789,12.0407
0.3792,12.3107
0.3795,12.2891
0.3798,12.0407
0.3801,12.3863
0.3804,12.2135
0.3807,12.1055
0.3809,12.4187
0.3813,12.1487
0.3816,12.2243
0.3819,12.4619
0.3822,12.1379
0.3825,12.3647
0.3828,12.4619
0.3831,12.1703
0.3834,12.5051
0.3837,12.4295
0.384,12.2675
0.3843,12.6347
0.3846,12.4079
0.3849,12.4187
0.3852,12.7318
0.3855,12.4403
0.3858,12.6131
0.3861,12.7966
0.3864,12.4835
0.3867,12.7966
0.387,12.8183
0.3873,12.5915
0.3876,12.9802
0.3879,12.8291
0.3882,12.7643
0.3884,13.153
0.3888,12.9154
0.3891,13.0126
0.3894,13.2934
0.3897,12.991
0.39,13.261
0.3903,13.4014
0.3906,13.1422
0.3909,13.5202
0.3912,13.477
0.3915,13.3258
0.3918,13.747
0.3921,13.5742
0.3924,13.6066
0.3927,13.9737
0.393,13.693
0.3933,13.8873
0.3936,14.1357
0.3939,13.8441
0.3942,14.1897
0.3945,14.2653
0.3948,14.0601
0.3951,14.5029
0.3954,14.4057
0.3957,14.3517
0.396,14.7837
0.3963,14.5461
0.3966,14.6757
0.3969,15.032
0.3972,14.7404
0.3975,15.0212
0.3978,15.2048
0.3981,14.9348
0.3984,15.3668
0.3987,15.3884
0.399,15.248
0.3993,15.7231
0.3996,15.5611
0.3999,15.5828
0.4002,16.0147
0.4005,15.7555
0.4008,15.9715
0.4011,16.2631
0.4014,15.9607
0.4017,16.3387
0.402,16.4575
0.4023,16.2415
0.4026,16.7166
0.4029,16.6626
0.4032,16.5763
0.4035,17.0622
0.4038,16.8462
0.4041,16.9542
0.4044,17.343
0.4047,17.0406
0.405,17.3322
0.4053,17.5805
0.4056,17.3106
0.4059,17.7533
0.4062,17.8073
0.4065,17.6237
0.4068,18.1421
0.4071,17.9909
0.4074,17.9909
0.4077,18.4444
0.408,18.1637
0.4083,18.3689
0.4086,18.7144
0.4089,18.4012
0.4092,18.79
0.4095,18.9412
0.4098,18.6712
0.4101,19.168
0.4104,19.114
0.4107,19.006
0.411,19.5027
0.4113,19.2868
0.4116,19.3839
0.4119,19.8159
0.4122,19.4919
0.4125,19.7835
0.4128,20.0211
0.4131,19.6863
0.4134,20.1183
0.4137,20.1831
0.414,19.9779
0.4143,20.507
0.4146,20.3558
0.4149,20.3235
0.4152,20.7986
0.4155,20.4962
0.4158,20.669
0.4161,21.0254
0.4164,20.669
0.4167,21.0362
0.417,21.209
0.4173,20.9174
0.4176,21.4033
0.4179,21.3385
0.4182,21.1982
0.4185,21.7057
0.4188,21.4681
0.4191,21.5329
0.4194,21.9433
0.4197,21.5869
0.42,21.8461
0.4203,22.1161
0.4206,21.7921
0.4209,22.2241
0.4212,22.2673
0.4215,21.9973
0.4218,22.5048
0.4221,22.3429
0.4224,22.2673
0.4227,22.7424
0.423,22.4184
0.4233,22.5696
0.4236,22.9368
0.4239,22.5804
0.4242,22.926
0.4245,23.0772
0.4248,22.7316
0.4251,23.1851
0.4254,23.1203
0.4257,22.9368
0.426,23.4443
0.4263,23.1743
0.4266,23.196
0.4269,23.6279
0.4272,23.2608
0.4275,23.5091
0.4278,23.7683
0.4281,23.3795
0.4284,23.7899
0.4287,23.8331
0.429,23.5631
0.4293,24.049
0.4296,23.8547
0.4299,23.7575
0.4302,24.2326
0.4305,23.9087
0.4308,24.0383
0.4311,24.373
0.4314,23.9519
0.4317,24.2542
0.432,24.3838
0.4323,24.049
0.4326,24.535
0.4329,24.4594
0.4332,24.2435
0.4335,24.7294
0.4338,24.4486
0.4341,24.4486
0.4344,24.8482
0.4347,24.4594
0.435,24.6754
0.4353,24.913
0.4356,24.5458
0.4359,24.9454
0.4362,24.9778
0.4365,24.6754
0.4368,25.1505
0.4371,24.9454
0.4374,24.8266
0.4377,25.2585
0.438,24.8914
0.4383,24.9994
0.4386,25.3341
0.4389,24.9346
0.4392,25.2477
0.4395,25.3773
0.4398,25.0102
0.4401,25.4421
0.4404,25.3233
0.4407,25.1074
0.441,25.5933
0.4413,25.3125
0.4416,25.2909
0.4419,25.6905
0.4422,25.2801
0.4425,25.4853
0.4428,25.7121
0.4431,25.2909
0.4434,25.6797
0.4437,25.7013
0.444,25.3989
0.4443,25.8741
0.4446,25.6581
0.4449,25.5177
0.4452,25.9496
0.4455,25.5717
0.4458,25.6581
0.4461,25.9821
0.4464,25.5501
0.4467,25.8633
0.447,25.9929
0.4473,25.6257
0.4476,26.0793
0.4479,25.9496
0.4482,25.6905
0.4485,26.1441
0.4488,25.8417
0.4491,25.8201
0.4494,26.2088
0.4497,25.7985
0.45,26.0144
0.4503,26.2412
0.4506,25.8201
0.4509,26.1872
0.4512,26.1656
0.4515,25.8093
0.4518,26.252
0.4521,26.0253
0.4524,25.8956
0.4527,26.3492
0.453,25.9713
0.4533,26.0576
0.4536,26.3708
0.4539,25.9281
0.4542,26.2304
0.4545,26.3492
0.4548,25.9496
0.4551,26.3708
0.4554,26.2304
0.4557,25.9929
0.456,26.4572
0.4563,26.1332
0.4566,26.1116
0.4569,26.4896
0.4572,26.0469
0.4575,26.2412
0.4578,26.4464
0.4581,26.0036
0.4584,26.36
0.4587,26.3492
0.459,26.0253
