t,E,I
301.35001,0.29550856,-2.392916e-06
301.35999,0.29500157,-2.2915153e-06
301.37,0.29446235,-2.376016e-06
301.38,0.29414046,-2.3051964e-06
301.39001,0.29346445,-2.34463e-06
301.39999,0.29305401,-2.392916e-06
301.41,0.29241824,-2.27542e-06
301.42001,0.2920883,-2.3357775e-06
301.42999,0.29154107,-2.3615303e-06
301.44,0.29108235,-2.3591158e-06
301.45001,0.29049486,-2.4548833e-06
301.45999,0.29007638,-2.3035868e-06
301.47,0.28944865,-2.3848684e-06
301.48001,0.28903824,-2.3148536e-06
301.48999,0.28857145,-2.368773e-06
301.5,0.28812081,-2.4098163e-06
301.51001,0.28739649,-2.3953305e-06
301.51999,0.28700218,-2.4106209e-06
301.53,0.2865032,-2.4202782e-06
301.54001,0.28602034,-2.3398015e-06
301.54999,0.28557771,-2.4307403e-06
301.56,0.28502244,-2.3325586e-06
301.57001,0.28455567,-2.462931e-06
301.57999,0.28400037,-2.4041829e-06
301.59,0.28350946,-2.4283258e-06
301.60001,0.28308293,-2.3896971e-06
301.60999,0.28252766,-2.4323497e-06
301.62,0.2820448,-2.4331546e-06
301.63,0.28144121,-2.507998e-06
301.64001,0.28106296,-2.4975359e-06
301.64999,0.28058815,-2.5144361e-06
301.66,0.28008115,-2.3711873e-06
301.67001,0.27960634,-2.5200695e-06
301.67999,0.27903494,-2.5047789e-06
301.69,0.27863258,-2.5136314e-06
301.70001,0.27806923,-2.5128265e-06
301.70999,0.27765074,-2.4500546e-06
301.72,0.27711156,-2.4902931e-06
301.73001,0.27651602,-2.5578936e-06
301.73999,0.27623436,-2.4613214e-06
301.75,0.27551812,-2.5208742e-06
301.76001,0.27492258,-2.4331546e-06
301.76999,0.27427074,-2.5313363e-06
301.78,0.27373153,-2.5257029e-06
301.79001,0.2731038,-2.5409936e-06
301.79999,0.27262095,-2.4927074e-06
301.81,0.27202544,-2.4750025e-06
301.82001,0.27158281,-2.4669548e-06
301.82999,0.27099532,-2.5498459e-06
301.84,0.27048028,-2.5369695e-06
301.85001,0.26994106,-2.4919027e-06
301.85999,0.26949844,-2.4516642e-06
301.87,0.26886269,-2.5723793e-06
301.88,0.26830739,-2.5981321e-06
301.89001,0.26784062,-2.5627223e-06
301.89999,0.26738995,-2.5522602e-06
301.91,0.26686686,-2.5426029e-06
301.92001,0.26636791,-2.5401887e-06
301.92999,0.26593333,-2.594913e-06
301.94,0.26536998,-2.5804272e-06
301.95001,0.26488712,-2.6246894e-06
301.95999,0.26442036,-2.5586985e-06
301.97,0.26386508,-2.6158368e-06
301.98001,0.26338223,-2.5466268e-06
301.98999,0.26285106,-2.5788177e-06
302,0.26240844,-2.6230798e-06
302.01001,0.26194167,-2.6053749e-06
302.01999,0.26137835,-2.5627223e-06
302.03,0.2608794,-2.6592945e-06
302.04001,0.26045287,-2.6158368e-06
302.04999,0.25977686,-2.7236758e-06
302.06,0.2593101,-2.6102036e-06
302.07001,0.25875479,-2.5933034e-06
302.07999,0.25840876,-2.6045702e-06
302.09,0.25785345,-2.751038e-06
302.10001,0.25734645,-2.7011424e-06
302.10999,0.25696015,-2.7051663e-06
302.12,0.25642902,-2.619056e-06
302.13,0.25597835,-2.7534522e-06
302.14001,0.2554794,-2.7116043e-06
302.14999,0.254908,-2.7429903e-06
302.16,0.25452977,-2.6665373e-06
302.17001,0.25400665,-2.7357473e-06
302.17999,0.25349966,-2.8113957e-06
302.19,0.25293633,-2.771962e-06
302.20001,0.25250176,-2.7445999e-06
302.20999,0.25197864,-2.6850471e-06
302.22,0.25156015,-2.758281e-06
302.23001,0.25094855,-2.8387578e-06
302.23999,0.25049788,-2.7590856e-06
302.25,0.24999088,-2.7856431e-06
302.26001,0.24954826,-2.8057623e-06
302.26999,0.24902515,-2.8596817e-06
302.28,0.24860667,-2.8629008e-06
302.29001,0.24813186,-2.8564627e-06
302.29999,0.24774557,-2.796105e-06
302.31,0.24747194,-2.8508293e-06
302.32001,0.24701323,-2.8991153e-06
302.32999,0.2466028,-2.9248679e-06
302.34,0.24614409,-2.8500244e-06
302.35001,0.24562098,-2.9119917e-06
302.35999,0.24516226,-2.9989067e-06
302.37,0.2446955,-3.0133924e-06
302.38,0.24405973,-2.9200394e-06
302.39001,0.24369758,-2.8645104e-06
302.39999,0.24324691,-2.921649e-06
302.41,0.24272382,-3.0552403e-06
302.42001,0.24224095,-3.0367307e-06
302.42999,0.24166152,-2.9948828e-06
302.44,0.24129133,-2.8958964e-06
302.45001,0.24063142,-3.0262688e-06
302.45999,0.24015661,-2.9964924e-06
302.47,0.23974617,-3.1284742e-06
302.48001,0.23911846,-2.9618873e-06
302.48999,0.2385873,-2.9972971e-06
302.5,0.23819298,-3.0697263e-06
302.51001,0.23783083,-3.139741e-06
302.51999,0.23722725,-3.0166116e-06
302.53,0.23664781,-3.0439737e-06
302.54001,0.23625349,-3.0455831e-06
302.54999,0.23561771,-3.2387275e-06
302.56,0.23490147,-3.0286831e-06
302.57001,0.23424961,-3.0230497e-06
302.57999,0.23364604,-3.0431688e-06
302.59,0.23331608,-3.0544356e-06
302.60001,0.23261593,-3.1791747e-06
302.60999,0.23210087,-3.1284742e-06
302.62,0.23144901,-3.084212e-06
302.63,0.23103054,-3.0930644e-06
302.64001,0.23052353,-3.1598602e-06
302.64999,0.23000044,-3.1840034e-06
302.66,0.22959805,-3.1413506e-06
302.67001,0.22895423,-3.1091599e-06
302.67999,0.22857599,-3.1365221e-06
302.69,0.22804484,-3.2322894e-06
302.70001,0.22756198,-3.2347036e-06
302.70999,0.22703083,-3.2033176e-06
302.72,0.22653992,-3.171127e-06
302.73001,0.22608925,-3.254823e-06
302.73999,0.22534081,-3.163884e-06
302.75,0.22494648,-3.250799e-06
302.76001,0.22459239,-3.1590555e-06
