t,E,I
8.8100004,-0.18501148,-9.1429007e-07
8.8199997,-0.18547019,-9.160434e-07
8.8299999,-0.18613818,-9.1589578e-07
8.8400002,-0.18656471,-9.1606938e-07
8.8500004,-0.1869671,-9.1820971e-07
8.8599997,-0.18745801,-9.2139481e-07
8.8699999,-0.18810984,-9.2277133e-07
8.8800001,-0.18852833,-9.2017217e-07
8.8900003,-0.18909165,-9.1423891e-07
8.8999996,-0.18957451,-9.0814984e-07
8.9099998,-0.18996885,-9.0530989e-07
8.9200001,-0.19060466,-9.070792e-07
8.9300003,-0.19106337,-9.1226462e-07
8.9399996,-0.19141743,-9.1836739e-07
8.9499998,-0.19198081,-9.2333221e-07
8.96,-0.19247976,-9.2660309e-07
8.9700003,-0.19306722,-9.2906038e-07
8.9799995,-0.19353399,-9.3211975e-07
8.9899998,-0.19395247,-9.3662749e-07
9,-0.19447556,-9.4218757e-07
9.0100002,-0.19507113,-9.473095e-07
9.0200005,-0.19547346,-9.503845e-07
9.0299997,-0.19594827,-9.5098801e-07
9.04,-0.19647142,-9.5052019e-07
9.0500002,-0.19696233,-9.5137091e-07
9.0600004,-0.19755784,-9.5502628e-07
9.0699997,-0.19804069,-9.6080907e-07
9.0799999,-0.1986523,-9.6654537e-07
9.0900002,-0.19907883,-9.7041664e-07
9.1000004,-0.19946513,-9.7198892e-07
9.1099997,-0.20003656,-9.715875e-07
9.1199999,-0.20039865,-9.6925851e-07
9.1300001,-0.20103446,-9.6481563e-07
9.1400003,-0.20146099,-9.5880409e-07
9.1499996,-0.2020404,-9.5299629e-07
9.1599998,-0.20247498,-9.4965202e-07
9.1700001,-0.20302221,-9.5018476e-07
9.1800003,-0.20344874,-9.5439793e-07
9.1899996,-0.20391551,-9.6080805e-07
9.1999998,-0.20440641,-9.6762824e-07
9.21,-0.20492145,-9.7360692e-07
9.2200003,-0.2055653,-9.7825955e-07
9.2299995,-0.20587912,-9.8164105e-07
9.2399998,-0.20637009,-9.8407349e-07
9.25,-0.20690927,-9.8596922e-07
9.2600002,-0.20752087,-9.8760756e-07
9.2700005,-0.20806006,-9.8892554e-07
9.2799997,-0.20844635,-9.8962778e-07
9.29,-0.20896944,-9.8945623e-07
9.3000002,-0.20951667,-9.8794601e-07
9.3100004,-0.20991907,-9.8380633e-07
9.3199997,-0.21036974,-9.7533905e-07
9.3299999,-0.21091703,-9.6249801e-07
9.3400002,-0.21140793,-9.4855608e-07
9.3500004,-0.21188274,-9.3876838e-07
9.3599997,-0.21246216,-9.3662595e-07
9.3699999,-0.21284845,-9.4142632e-07
9.3800001,-0.21329108,-9.4964162e-07
9.3900003,-0.2138705,-9.5834184e-07
9.3999996,-0.21435335,-9.6699841e-07
9.4099998,-0.21486035,-9.7637974e-07
9.4200001,-0.21527883,-9.8653106e-07
9.4300003,-0.21588245,-9.9608803e-07
9.4399996,-0.21637335,-1.0029773e-06
9.4499998,-0.21683207,-1.0053051e-06
9.46,-0.21741953,-1.0020771e-06
9.4700003,-0.21792653,-9.9417446e-07
9.4799995,-0.21832892,-9.8513203e-07
9.4899998,-0.21890834,-9.8031683e-07
9.5,-0.21952805,-9.8418616e-07
9.5100002,-0.21980968,-9.9755118e-07
9.5200005,-0.22042134,-1.0171567e-06
9.5299997,-0.22084787,-1.0376472e-06
9.54,-0.2214112,-1.0539502e-06
9.5500002,-0.2219182,-1.0626318e-06
9.5600004,-0.22232059,-1.0623837e-06
9.5699997,-0.22294828,-1.0540364e-06
9.5799999,-0.22347137,-1.0399059e-06
9.5900002,-0.2238979,-1.0227405e-06
9.6000004,-0.22429225,-1.0053261e-06
9.6099997,-0.22483948,-9.9096781e-07
9.6199999,-0.22531429,-9.8339547e-07
9.6300001,-0.22587767,-9.8498447e-07
9.6400003,-0.2263042,-9.9463705e-07
9.6499996,-0.22697213,-1.0078805e-06
9.6599998,-0.22734234,-1.0196701e-06
9.6700001,-0.22789761,-1.0273195e-06
9.6800003,-0.22830805,-1.0305363e-06
9.6899996,-0.228807,-1.0283139e-06
9.6999998,-0.22937033,-1.0158275e-06
9.71,-0.2298049,-9.8523958e-07
9.7200003,-0.23039243,-9.3114102e-07
9.7299995,-0.23083505,-8.5651675e-07
9.7399998,-0.23064992,-7.7359209e-07
9.75,-0.23013487,-6.9808078e-07
9.7600002,-0.22957155,-6.4128318e-07
9.7700005,-0.22910479,-6.0594078e-07
9.7799997,-0.2286863,-5.8775333e-07
9.79,-0.22815517,-5.7981867e-07
9.8000002,-0.22764817,-5.7621094e-07
9.8100004,-0.22711697,-5.7307301e-07
9.8199997,-0.22668239,-5.6804799e-07
9.8299999,-0.2261754,-5.5967229e-07
9.8400002,-0.2256684,-5.4755043e-07
9.8500004,-0.22511312,-5.3287204e-07
9.8599997,-0.22473487,-5.1829551e-07
9.8699999,-0.22407499,-5.0682678e-07
9.8800001,-0.22368869,-5.0041109e-07
9.8900003,-0.22310123,-4.9929287e-07
9.8999996,-0.22264251,-5.0235172e-07
9.9099998,-0.22207108,-5.076804e-07
9.9200001,-0.22155604,-5.1288009e-07
9.9300003,-0.22116974,-5.154223e-07
9.9399996,-0.22058228,-5.1348752e-07
9.9499998,-0.22013965,-5.0685304e-07
9.96,-0.21961656,-4.9701572e-07
9.9700003,-0.21916589,-4.8636855e-07
9.9799995,-0.21848986,-4.7700507e-07
9.9899998,-0.21797481,-4.6984329e-07
10,-0.21761265,-4.6447761e-07
10.01,-0.21705738,-4.5983916e-07
10.02,-0.21651015,-4.553076e-07
10.03,-0.21609166,-4.5148445e-07
10.04,-0.21552834,-4.499133e-07
10.05,-0.21515009,-4.5185502e-07
10.06,-0.21459481,-4.5715157e-07
10.07,-0.21405563,-4.6414959e-07
10.08,-0.21353248,-4.7051489e-07
10.09,-0.21306571,-4.7397009e-07
10.1,-0.21257481,-4.7258823e-07
10.11,-0.21211609,-4.6520537e-07
10.12,-0.21153668,-4.5223902e-07
10.13,-0.21099749,-4.3619093e-07
10.14,-0.21049854,-4.2096855e-07
10.15,-0.21009615,-4.1014522e-07
10.16,-0.20957306,-4.0529733e-07
10.17,-0.20896944,-4.0558967e-07
10.18,-0.20859924,-4.08712e-07
10.19,-0.20809224,-4.1215026e-07
10.2,-0.20754501,-4.1394389e-07
10.21,-0.20706216,-4.131563e-07
10.22,-0.20658734,-4.104167e-07
10.23,-0.20614472,-4.0783317e-07
10.24,-0.20554921,-4.0744177e-07
10.25,-0.20514682,-4.0906619e-07
10.26,-0.20447883,-4.0979711e-07
10.27,-0.20407644,-4.0606045e-07
10.28,-0.20355335,-3.9657968e-07
10.29,-0.20307049,-3.8353539e-07
10.3,-0.20255545,-3.7100949e-07
10.31,-0.2020565,-3.6230941e-07
10.32,-0.20142075,-3.5841396e-07
10.33,-0.20111492,-3.5834273e-07
10.34,-0.20051941,-3.6057074e-07
10.35,-0.20001236,-3.6413562e-07
10.36,-0.19954559,-3.6873635e-07
10.37,-0.19907883,-3.7411129e-07
10.38,-0.19864425,-3.7951958e-07
10.39,-0.19804874,-3.8377806e-07
10.4,-0.19750956,-3.8555746e-07
10.41,-0.19710717,-3.8363714e-07
10.42,-0.19658408,-3.7744107e-07
10.43,-0.19607708,-3.679892e-07
10.44,-0.1954976,-3.5831272e-07
10.45,-0.19502279,-3.5230195e-07
10.46,-0.19460431,-3.5253123e-07
10.47,-0.19408122,-3.587426e-07
10.48,-0.19353399,-3.6788009e-07
10.49,-0.19302699,-3.7528659e-07
10.5,-0.19251999,-3.7651415e-07
10.51,-0.19197276,-3.6937067e-07
10.52,-0.19155428,-3.5525576e-07
10.53,-0.19115993,-3.3854687e-07
10.54,-0.19052413,-3.240701e-07
10.55,-0.1899769,-3.1445498e-07
10.56,-0.18955037,-3.0931977e-07
10.57,-0.18903533,-3.0659317e-07
10.58,-0.18853638,-3.0463423e-07
10.59,-0.18813398,-3.0351811e-07
10.6,-0.18752238,-3.0470588e-07
10.61,-0.18706366,-3.0951648e-07
10.62,-0.18644395,-3.1769332e-07
10.63,-0.18596914,-3.2724304e-07
10.64,-0.18555066,-3.3550205e-07
10.65,-0.18504366,-3.4026584e-07
10.66,-0.18456081,-3.4015014e-07
10.67,-0.18394116,-3.3458156e-07
10.68,-0.18352267,-3.241081e-07
10.69,-0.18291107,-3.107674e-07
10.7,-0.18239596,-2.9769518e-07
10.71,-0.18197754,-2.8795372e-07
10.72,-0.18152687,-2.8350726e-07
10.73,-0.18105206,-2.8495211e-07
10.74,-0.18051282,-2.9159304e-07
10.75,-0.17985293,-3.0134905e-07
10.76,-0.17949882,-3.1081871e-07
10.77,-0.17898378,-3.1613584e-07
10.78,-0.17844459,-3.144628e-07
10.79,-0.1779376,-3.0527812e-07
10.8,-0.17748693,-2.9076566e-07
10.81,-0.17692354,-2.7507346e-07
10.82,-0.17642459,-2.6265599e-07
10.83,-0.17590955,-2.5653463e-07
10.84,-0.17546692,-2.5752067e-07
10.85,-0.17504039,-2.6457167e-07
10.86,-0.17449316,-2.7548796e-07
10.87,-0.17392984,-2.8744685e-07
10.88,-0.17354354,-2.9763729e-07
10.89,-0.17298022,-3.0404851e-07
10.9,-0.17232028,-3.0592176e-07
10.91,-0.17193398,-3.0377049e-07
10.92,-0.17151549,-2.9939983e-07
10.93,-0.17093608,-2.9572976e-07
10.94,-0.17046127,-2.9556767e-07
10.95,-0.1700106,-2.9952059e-07
10.96,-0.16947946,-3.0490946e-07
10.97,-0.16906902,-3.072112e-07
10.98,-0.16853788,-3.0310915e-07
10.99,-0.16811135,-2.925307e-07
11,-0.16753998,-2.7811794e-07
11.01,-0.1669766,-2.6310684e-07
11.02,-0.16644546,-2.497811e-07
11.03,-0.16598675,-2.3953001e-07
11.04,-0.16549584,-2.3365932e-07
11.05,-0.16505322,-2.3351174e-07
11.06,-0.1644738,-2.3948502e-07
11.07,-0.1639668,-2.4990578e-07
11.08,-0.16342762,-2.6108512e-07
11.09,-0.16304937,-2.6894818e-07
11.1,-0.16255042,-2.711962e-07
11.11,-0.16186634,-2.6833214e-07
11.12,-0.16146395,-2.627699e-07
11.13,-0.1610857,-2.5684918e-07
11.14,-0.16053042,-2.5134295e-07
11.15,-0.15996709,-2.4546412e-07
11.16,-0.15938768,-2.3822385e-07
11.17,-0.1589531,-2.3002687e-07
11.18,-0.15842995,-2.2305559e-07
11.19,-0.15793905,-2.1982845e-07
11.2,-0.15746424,-2.2104666e-07
11.21,-0.1569331,-2.2474406e-07
11.22,-0.15657094,-2.2757283e-07
11.23,-0.15598348,-2.2699732e-07
11.24,-0.15540406,-2.2251869e-07
11.25,-0.15498558,-2.1531019e-07
11.26,-0.15448663,-2.0714951e-07
11.27,-0.15393135,-1.9971084e-07
11.28,-0.15345648,-1.94349e-07
11.29,-0.15296558,-1.9189166e-07
11.3,-0.15248272,-1.923224e-07
11.31,-0.15195963,-1.9477361e-07
11.32,-0.15140435,-1.9806463e-07
11.33,-0.15088931,-2.014591e-07
11.34,-0.15036622,-2.0514544e-07
11.35,-0.14991555,-2.1012043e-07
11.36,-0.14948097,-2.1735647e-07
11.37,-0.14890954,-2.266095e-07
11.38,-0.14851525,-2.3588503e-07
11.39,-0.14801624,-2.4234734e-07
