t,E,I
190.8,-0.53431636,-3.7214309e-07
190.81,-0.53382546,-3.8260507e-07
190.82001,-0.5333426,-3.4397621e-07
190.83,-0.53274709,-3.0373778e-07
190.84,-0.53235275,-2.530374e-07
190.85001,-0.53186184,-2.3533249e-07
190.86,-0.53127432,-2.3452772e-07
190.87,-0.53087199,-2.5142785e-07
190.88,-0.53035688,-1.3956507e-07
190.89,-0.52980965,-1.5968428e-07
190.89999,-0.52927852,-1.5726997e-07
190.91,-0.52878761,-1.5002706e-07
190.92,-0.5283289,-1.0254573e-07
190.92999,-0.52774143,-8.7255131e-08
190.94,-0.52730685,-5.667394e-08
190.95,-0.52679986,-8.387846e-09
190.96001,-0.52626061,-3.5592362e-09
190.97,-0.52580994,2.138858e-08
190.98,-0.52527881,8.2550969e-08
190.99001,-0.52473962,1.4210381e-07
191,-0.52424872,1.4532289e-07
191.00999,-0.52387047,1.7590408e-07
191.02,-0.52321059,2.4833324e-07
191.03,-0.52275187,3.0788607e-07
191.03999,-0.52227706,3.553674e-07
191.05,-0.5217942,3.4088157e-07
191.06,-0.5212791,3.9238674e-07
191.07001,-0.52074796,4.2457748e-07
191.08,-0.52022487,4.5757298e-07
191.09,-0.51973397,4.3986807e-07
191.10001,-0.51925915,4.5113481e-07
191.11,-0.51884872,6.2898863e-07
191.12,-0.51834172,5.7667864e-07
191.13,-0.51781863,6.3301246e-07
191.14,-0.51720697,7.030273e-07
191.14999,-0.51674825,7.5292292e-07
191.16,-0.51637006,8.0845194e-07
191.17,-0.5157584,8.7927151e-07
191.17999,-0.51533186,8.8892875e-07
191.19,-0.51480877,9.5411497e-07
191.2,-0.5143581,1.0659778e-06
191.21001,-0.51384306,1.0877066e-06
191.22,-0.51328778,1.05793e-06
191.23,-0.51281297,1.176231e-06
191.24001,-0.51233816,1.2913129e-06
191.25,-0.51177478,1.3307465e-06
191.25999,-0.51119536,1.3991519e-06
191.27,-0.51077688,1.4418046e-06
191.28,-0.51035035,1.5971248e-06
191.28999,-0.5098353,1.7548593e-06
191.3,-0.50928807,1.8119979e-06
191.31,-0.50891787,1.8506269e-06
191.32001,-0.50841087,1.9415656e-06
191.33,-0.50774288,2.0389425e-06
191.34,-0.50741297,2.13471e-06
191.35001,-0.50672889,2.2626682e-06
191.36,-0.50638282,2.4525934e-06
191.37,-0.50581145,2.5403133e-06
191.38,-0.50537688,2.6320567e-06
191.39,-0.50480551,2.7817437e-06
191.39999,-0.50445139,2.922578e-06
191.41,-0.50373518,3.0626079e-06
191.42,-0.50322008,3.270238e-06
191.42999,-0.50290626,3.3354243e-06
191.44,-0.50219804,3.405439e-06
191.45,-0.50173932,3.6645745e-06
191.46001,-0.50128061,3.9172719e-06
191.47,-0.50076556,4.0983446e-06
191.48,-0.50031489,4.3027558e-06
191.49001,-0.49983206,4.3936943e-06
191.5,-0.49942163,4.6085675e-06
191.50999,-0.49885026,4.7799831e-06
191.52,-0.49831107,5.0262424e-06
191.53,-0.49793282,5.2145583e-06
191.53999,-0.49736944,5.3505642e-06
191.55,-0.49672565,5.5099081e-06
191.56,-0.49636349,5.6684476e-06
191.57001,-0.49587259,5.895392e-06
191.58,-0.49530926,6.0611742e-06
191.59,-0.49485055,6.2269564e-06
191.60001,-0.49428722,6.3814723e-06
191.61,-0.49382046,6.6035882e-06
191.62,-0.4933376,6.7387891e-06
191.63,-0.49275813,6.8731856e-06
191.64,-0.49224308,7.0156293e-06
191.64999,-0.49176827,7.2127978e-06
191.66,-0.49126932,7.2699363e-06
191.67,-0.49086693,7.3753608e-06
191.67999,-0.49035993,7.4751524e-06
191.69,-0.4898127,7.6827828e-06
191.7,-0.48932984,7.787402e-06
191.71001,-0.48878255,7.7801596e-06
191.72,-0.4882836,7.8413213e-06
191.73,-0.48782489,7.9105321e-06
191.74001,-0.4873018,8.0095188e-06
191.75,-0.48681894,8.094019e-06
191.75999,-0.48647287,8.2654351e-06
191.77,-0.48578885,8.3370587e-06
191.78,-0.48532209,8.3660307e-06
191.78999,-0.4847829,8.4127068e-06
191.8,-0.48427591,8.5446891e-06
191.81,-0.4837608,8.6396522e-06
191.82001,-0.48329404,8.7322005e-06
191.83,-0.48287556,9.0814701e-06
191.84,-0.48236856,8.9736304e-06
191.85001,-0.48187765,9.006626e-06
191.86,-0.48130628,9.0871026e-06
191.87,-0.48080733,9.0951507e-06
191.88,-0.48034862,9.1651655e-06
191.89,-0.47977725,9.1514848e-06
191.89999,-0.47935072,9.0959556e-06
191.91,-0.47885177,9.0589365e-06
191.92,-0.47828838,9.0058211e-06
191.92999,-0.47788599,8.9293681e-06
191.94,-0.47739509,8.8360157e-06
191.95,-0.47677544,8.6814998e-06
191.96001,-0.47638109,8.4835265e-06
191.97,-0.47588214,8.2927963e-06
191.98,-0.47539124,8.0932141e-06
191.99001,-0.47484401,7.9169704e-06
192,-0.47432092,7.6691013e-06
192.00999,-0.47382191,7.4204281e-06
192.02,-0.47337928,7.1918739e-06
192.03,-0.47285619,6.9102048e-06
192.03999,-0.4723331,6.6880889e-06
192.05,-0.47185025,6.4144674e-06
192.06,-0.47130302,6.1521132e-06
192.07001,-0.47083625,5.9066588e-06
192.08,-0.47042581,5.7263906e-06
192.09,-0.46986249,5.4913985e-06
192.10001,-0.46933129,5.3215922e-06
192.11,-0.46879211,5.1051097e-06
192.12,-0.46833339,4.9674941e-06
192.13,-0.46783444,4.7671069e-06
192.14,-0.46734354,4.6125915e-06
192.14999,-0.46679631,4.4983144e-06
192.16,-0.46625713,4.3727705e-06
192.17,-0.4658145,4.301146e-06
192.17999,-0.46533164,4.1884787e-06
192.19,-0.46478435,4.1055873e-06
192.2,-0.46426931,4.0339633e-06
192.21001,-0.46380255,3.9816532e-06
192.22,-0.46326336,3.9615338e-06
192.23,-0.46273223,3.955096e-06
192.24001,-0.46234593,3.9060051e-06
192.25,-0.46181479,3.7796563e-06
192.25999,-0.46122733,3.7201035e-06
192.27,-0.46088931,3.6830841e-06
192.28,-0.46035013,3.6130693e-06
192.28999,-0.45987532,3.5333971e-06
192.3,-0.45939246,3.433606e-06
192.31,-0.45881298,3.4601633e-06
192.32001,-0.45833012,3.4279726e-06
192.33,-0.45777485,3.3434719e-06
192.34,-0.45734027,3.2340233e-06
192.35001,-0.45676085,3.2718476e-06
192.36,-0.45631018,3.232414e-06
192.37,-0.45581123,3.2219518e-06
192.38,-0.45522371,3.1519371e-06
192.39,-0.45486966,3.0851413e-06
192.39999,-0.45438674,3.1285988e-06
192.41,-0.45391193,3.0344409e-06
192.42,-0.45326009,2.9933976e-06
192.42999,-0.45278528,3.0360504e-06
192.44,-0.45233461,3.0593887e-06
192.45,-0.45173106,3.0835317e-06
192.46001,-0.45125625,2.9933976e-06
192.47,-0.45062849,2.9523546e-06
192.48,-0.45019391,2.9652308e-06
192.49001,-0.4498398,2.9282114e-06
192.5,-0.44928452,2.9475259e-06
192.50999,-0.44886604,3.0424885e-06
192.52,-0.44832686,2.9805215e-06
192.53,-0.44791642,2.929821e-06
192.53999,-0.44725654,2.9475259e-06
192.55,-0.44678172,2.929821e-06
192.56,-0.44626662,2.9909834e-06
192.57001,-0.44579986,2.9829357e-06
192.58,-0.44522849,2.9072876e-06
192.59,-0.44478586,2.8871684e-06
192.60001,-0.44431105,2.9080923e-06
192.61,-0.44389257,2.9708642e-06
192.62,-0.44332924,3.03766e-06
192.63,-0.44285443,2.9555736e-06
192.64,-0.4422026,2.9008493e-06
192.64999,-0.44188067,2.9008493e-06
192.66,-0.44129315,3.0159313e-06
192.67,-0.44077006,3.0191502e-06
192.67999,-0.44026306,3.0271981e-06
192.69,-0.43971583,3.0440981e-06
192.7,-0.43932149,3.0674364e-06
192.71001,-0.43882254,3.0199551e-06
192.72,-0.43825921,3.0119074e-06
192.73,-0.43771198,3.0722649e-06
192.74001,-0.43736592,3.1269892e-06
192.75,-0.43684283,3.0682411e-06
192.75999,-0.43626335,3.0754841e-06
192.77,-0.43584487,3.0255885e-06
192.78,-0.43531373,2.9692546e-06
192.78999,-0.43491939,3.0191502e-06
192.8,-0.43433997,2.9942025e-06
192.81,-0.43392953,3.0022502e-06
192.82001,-0.43329379,3.0086883e-06
192.83,-0.43286726,2.9805215e-06
192.84,-0.43242463,3.044903e-06
192.85001,-0.43182912,3.0408789e-06
192.86,-0.43134627,3.0835317e-06
192.87,-0.43078288,3.0803128e-06
192.88,-0.43038854,3.05456e-06
192.89,-0.42980912,3.0127121e-06
192.89999,-0.42942283,3.0070787e-06
192.91,-0.42886755,2.9998359e-06
192.92,-0.42833641,3.0867509e-06
192.92999,-0.42789379,3.0891651e-06
192.94,-0.42732242,3.05456e-06
192.95,-0.42682347,3.1052605e-06
192.96001,-0.42635664,3.0939937e-06
192.97,-0.42584965,3.0078836e-06
192.98,-0.42530242,3.0754841e-06
192.99001,-0.42474714,3.0811175e-06
193,-0.42436084,3.1084796e-06
193.00999,-0.42387798,3.0674364e-06
193.02,-0.42323419,3.0762887e-06
193.03,-0.42277548,3.0883605e-06
193.03999,-0.42222819,3.1463037e-06
193.05,-0.42180166,3.1125035e-06
193.06,-0.42123029,3.1116986e-06
193.07001,-0.42084399,3.1068701e-06
193.08,-0.42039332,3.0706556e-06
193.09,-0.41988632,3.069046e-06
193.10001,-0.41922644,3.0819222e-06
193.11,-0.41883209,3.1084796e-06
193.12,-0.41829291,3.0674364e-06
193.13,-0.41777787,3.1817135e-06
193.14,-0.41740766,3.1495229e-06
193.14999,-0.41678795,3.1133081e-06
193.16,-0.41634533,3.0746794e-06
193.17,-0.41587052,3.1100892e-06
193.17999,-0.41536352,3.155156e-06
193.19,-0.4147841,3.1076747e-06
193.2,-0.41426101,3.1479133e-06
193.21001,-0.41393104,3.1366465e-06
193.22,-0.41335163,3.1656182e-06
193.23,-0.41277215,3.1358418e-06
193.24001,-0.41243419,3.1535467e-06
193.25,-0.41186276,3.1913708e-06
193.25999,-0.41128334,3.1632039e-06
193.27,-0.41082463,3.1012366e-06
193.28,-0.41032568,3.1495229e-06
193.28999,-0.40974626,3.1889565e-06
193.3,-0.40931168,3.1511322e-06
193.31,-0.40884492,3.1881516e-06
193.32001,-0.40829769,3.2106852e-06
193.33,-0.40780672,3.1801039e-06
193.34,-0.40735605,3.2050518e-06
193.35001,-0.40690538,3.193785e-06
193.36,-0.40634206,3.1776897e-06
193.37,-0.40590748,3.0682411e-06
193.38,-0.40527979,3.1181369e-06
193.39,-0.40478888,3.1809088e-06
193.39999,-0.40427384,3.2187329e-06
193.41,-0.4038634,3.1849327e-06
193.42,-0.40321955,3.2718476e-06
193.42999,-0.40281716,3.1632039e-06
193.44,-0.40227798,3.1511322e-06
193.45,-0.40182731,3.1430845e-06
193.46001,-0.40139273,3.155156e-06
193.47,-0.4008455,3.1149177e-06
193.48,-0.40025803,3.2122946e-06
193.49001,-0.39981541,3.2275852e-06
193.5,-0.39926818,3.2477044e-06
193.50999,-0.39893016,3.2758714e-06
