t,E,I
1.3200001,0.0025349557,2.953964e-06
1.33,0.0031626751,2.8887778e-06
1.34,0.0036535836,2.9209687e-06
1.35,0.003975491,2.9290163e-06
1.36,0.0044663996,2.9322352e-06
1.37,0.0047963546,2.9676451e-06
1.38,0.005520646,2.9402829e-06
1.39,0.0059954594,2.8807301e-06
1.4,0.0064783203,2.8895827e-06
1.41,0.0068485136,2.7785245e-06
1.42,0.0074279467,2.9322352e-06
1.4299999,0.0079269027,2.8638301e-06
1.4400001,0.0083614774,2.9467212e-06
1.45,0.0088362908,2.8726824e-06
1.46,0.009439867,2.9161399e-06
1.47,0.0098905377,2.9467212e-06
1.48,0.01043778,2.9088972e-06
1.49,0.010952831,2.8179581e-06
1.5,0.011500074,2.7986439e-06
1.51,0.01189441,2.8775112e-06
1.52,0.012361176,2.8300299e-06
1.53,0.012852085,2.7986439e-06
1.54,0.013375184,2.912921e-06
1.55,0.013970712,2.9153352e-06
1.5599999,0.014405287,2.8445156e-06
1.5700001,0.014920339,2.8783159e-06
1.58,0.015387105,2.8590014e-06
1.59,0.015886061,2.8058867e-06
1.6,0.016425256,2.850149e-06
1.61,0.016851783,2.8115201e-06
1.62,0.017503645,2.8823397e-06
1.63,0.017817505,2.8928016e-06
1.64,0.018461319,2.881535e-06
1.65,0.018992467,2.8340537e-06
1.66,0.019410945,2.8010581e-06
1.67,0.019934045,2.8227869e-06
1.6799999,0.020344477,2.8107154e-06
1.6900001,0.020827338,2.8726824e-06
1.7,0.021398723,2.8300299e-06
1.71,0.021905728,2.7849628e-06
1.72,0.02238054,2.7728913e-06
1.73,0.022943879,2.7648434e-06
1.74,0.023402596,2.7761103e-06
1.75,0.023869362,2.8284203e-06
1.76,0.024271745,2.8759016e-06
1.77,0.024835084,2.8211773e-06
1.78,0.025390374,2.7294338e-06
1.79,0.025985902,2.7849628e-06
1.8,0.026460715,2.8083011e-06
1.8099999,0.026838956,2.7696722e-06
1.8200001,0.027394246,2.8308345e-06
1.83,0.027949536,2.8412965e-06
1.84,0.028408255,2.7857675e-06
1.85,0.028931353,2.8010581e-06
1.86,0.029341785,2.8469299e-06
1.87,0.0298166,2.8485395e-06
1.88,0.030396031,2.7487481e-06
1.89,0.030894989,2.8034724e-06
1.9,0.031401992,2.8091058e-06
1.91,0.031949233,2.7632341e-06
1.92,0.032424048,2.7463338e-06
1.9299999,0.032818384,2.7986439e-06
1.9400001,0.033389769,2.7704768e-06
1.95,0.033888727,2.7962294e-06
1.96,0.034403779,2.7865724e-06
1.97,0.034814209,2.8099105e-06
1.98,0.035345357,2.7511626e-06
1.99,0.035852361,2.7165574e-06
2,0.036335222,2.8163488e-06
2.01,0.036866367,2.7149479e-06
2.02,0.037357278,2.7696722e-06
2.03,0.037783805,2.7857675e-06
2.04,0.038347144,2.7688675e-06
2.05,0.038838051,2.8646348e-06
2.0599999,0.039288722,2.7149479e-06
2.0699999,0.039948631,2.721386e-06
2.0799999,0.040367112,2.7294338e-06
2.0899999,0.040777542,2.6819523e-06
2.0999999,0.041413311,2.6787334e-06
2.1099999,0.041839838,2.7334577e-06
2.1199999,0.042403173,2.7117289e-06
2.1300001,0.042821653,2.7914009e-06
2.1400001,0.043304514,2.8252011e-06
2.1500001,0.043859806,2.7173621e-06
2.1600001,0.044278283,2.8243965e-06
2.1700001,0.044809431,2.7777198e-06
2.1800001,0.045308389,2.7382862e-06
2.1900001,0.045847584,2.7374815e-06
2.2,0.046274111,2.735067e-06
2.21,0.046861589,2.7415053e-06
2.22,0.0473525,2.8083011e-06
2.23,0.047891695,2.8235916e-06
2.24,0.048302125,2.710924e-06
2.25,0.04880913,2.7173621e-06
2.26,0.049460992,2.7897913e-06
2.27,0.04991971,2.749553e-06
2.28,0.050386474,2.7817437e-06
2.29,0.050853241,2.7672579e-06
2.3,0.05141658,2.7455292e-06
2.3099999,0.051778723,2.6666619e-06
2.3199999,0.052382302,2.721386e-06
2.3299999,0.052961733,2.7229955e-06
2.3399999,0.053348023,2.7439196e-06
2.3499999,0.053822834,2.7648434e-06
2.3599999,0.054257412,2.718167e-06
2.3699999,0.054909274,2.7334577e-06
2.3800001,0.055359941,2.7407004e-06
2.3900001,0.055794518,2.7431147e-06
2.4000001,0.05637395,2.7398958e-06
2.4100001,0.056800477,2.710924e-06
2.4200001,0.057420149,2.7077049e-06
2.4300001,0.057758152,2.7318481e-06
2.4400001,0.058273204,2.7728913e-06
2.45,0.058852635,2.7004621e-06
2.46,0.05932745,2.703681e-06
2.47,0.059850547,2.7704768e-06
2.48,0.060252935,2.6908049e-06
2.49,0.060784079,2.7262147e-06
2.5,0.061291084,2.7479434e-06
2.51,0.0619349,2.7133383e-06
2.52,0.062393617,2.7833532e-06
2.53,0.062804051,2.797839e-06
2.54,0.063439816,2.7511626e-06
2.55,0.063761726,2.6449331e-06
2.5599999,0.064300917,2.6602236e-06
2.5699999,0.064671114,2.7012668e-06
2.5799999,0.065258592,2.7922056e-06
2.5899999,0.065821931,2.7334577e-06
2.5999999,0.066240408,2.735067e-06
2.6099999,0.066827886,2.6674666e-06
2.6199999,0.067262463,2.697243e-06
2.6300001,0.067761421,2.6545904e-06
2.6400001,0.068268426,2.7173621e-06
2.6500001,0.068831764,2.5813563e-06
2.6600001,0.069282435,2.6964383e-06
2.6700001,0.069708958,2.7117289e-06
2.6800001,0.070328631,2.7238004e-06
2.6900001,0.070843682,2.7407004e-06
2.7,0.071213879,2.6996572e-06
2.71,0.071841598,2.6578093e-06
2.72,0.072429076,2.617571e-06
2.73,0.0728717,2.6795381e-06
2.74,0.073274083,2.5201939e-06
2.75,0.073933996,2.6916096e-06
2.76,0.074271992,2.686781e-06
2.77,0.074803144,2.648957e-06
2.78,0.075326242,2.6232044e-06
2.79,0.07586544,2.6553951e-06
2.8,0.076259769,2.7052906e-06
2.8099999,0.076823108,2.7012668e-06
2.8199999,0.077241592,2.74231e-06
2.8299999,0.077812977,2.735067e-06
2.8399999,0.078263648,2.6054995e-06
2.8499999,0.078682125,2.7093145e-06
2.8599999,0.07931789,2.6819523e-06
2.8699999,0.079768561,2.6473474e-06
2.8800001,0.080323853,2.6964383e-06
2.8900001,0.08080671,2.6288376e-06
2.9000001,0.081313714,2.6360806e-06
2.9100001,0.081780486,2.6457378e-06
2.9200001,0.082295537,2.6594189e-06
2.9300001,0.082891062,2.5982565e-06
2.9400001,0.083301492,2.6537855e-06
2.95,0.083824597,2.5129511e-06
2.96,0.084339648,2.6240091e-06
2.97,0.084870793,2.6264233e-06
2.98,0.085385844,2.6215948e-06
2.99,0.085723847,2.603085e-06
3,0.086287186,2.6875857e-06
3.01,0.086842477,2.6336663e-06
3.02,0.087293148,2.6207899e-06
3.03,0.087856479,2.6425187e-06
3.04,0.088331297,2.6272282e-06
3.05,0.088773921,2.5290465e-06
3.0599999,0.089313112,2.6272282e-06
3.0699999,0.089868404,2.5507752e-06
3.0799999,0.090383455,2.6095233e-06
3.0899999,0.090769745,2.6352759e-06
3.0999999,0.091357224,2.6111329e-06
3.1099999,0.09171132,2.5322656e-06
3.1199999,0.092186138,2.5773325e-06
3.1300001,0.09278971,2.578942e-06
3.1400001,0.093264528,2.5877946e-06
