t,E,j
0.0,-1.0969811605497524,-8.860743015257441
0.9999999999998899,-1.0979811605497523,-8.85446422268798
2.0000000000000018,-1.0989811605497524,-8.842993353272238
2.9999999999998916,-1.0999811605497523,-8.828177898720083
4.0000000000000036,-1.1009811605497524,-8.810981986629415
4.999999999999893,-1.1019811605497523,-8.79198433600588
6.000000000000005,-1.1029811605497524,-8.771564709098676
6.999999999999895,-1.1039811605497523,-8.7499883159526
8.000000000000007,-1.1049811605497524,-8.72744911448138
8.999999999999897,-1.1059811605497523,-8.70409410678317
10.000000000000009,-1.1069811605497524,-8.680037928050707
10.999999999999899,-1.1079811605497523,-8.65537208528082
12.00000000000001,-1.1089811605497524,-8.630171064758228
12.9999999999999,-1.1099811605497523,-8.604496515429364
14.000000000000012,-1.1109811605497524,-8.578400201157578
14.999999999999902,-1.1119811605497523,-8.55192613794864
16.000000000000014,-1.1129811605497524,-8.525112175650854
17.000000000000128,-1.1139811605497525,-8.497991191344106
18.000000000000014,-1.1149811605497524,-8.47059200526261
18.999999999999908,-1.1159811605497523,-8.442940094580896
20.000000000000018,-1.1169811605497524,-8.415058157397683
20.999999999999908,-1.1179811605497523,-8.386966563999867
22.00000000000002,-1.1189811605497524,-8.358683722151643
22.999999999999908,-1.1199811605497523,-8.330226376011254
24.00000000000002,-1.1209811605497524,-8.30160985325633
24.99999999999991,-1.1219811605497523,-8.272848271412407
26.00000000000002,-1.1229811605497524,-8.24395471178176
27.000000000000135,-1.1239811605497525,-8.21494136746405
28.000000000000025,-1.1249811605497524,-8.1858196705467
29.000000000000135,-1.1259811605497525,-8.156600402483724
30.00000000000003,-1.1269811605497524,-8.127293790881787
30.999999999999915,-1.1279811605497523,-8.097909595304026
32.00000000000003,-1.1289811605497524,-8.068457184238365
33.00000000000014,-1.1299811605497525,-8.038945605022898
34.00000000000003,-1.1309811605497524,-8.009383648252177
34.99999999999992,-1.1319811605497523,-7.979779907986902
36.00000000000003,-1.1329811605497524,-7.950142838942986
36.99999999999992,-1.1339811605497523,-7.920480811735372
38.000000000000036,-1.1349811605497524,-7.8908021671915956
38.99999999999992,-1.1359811605497523,-7.8611152707264145
40.000000000000036,-1.1369811605497524,-7.831428567781041
41.00000000000015,-1.1379811605497525,-7.801750641379509
42.000000000000036,-1.1389811605497524,-7.772090272943873
42.99999999999993,-1.1399811605497523,-7.742456507645258
44.00000000000004,-1.1409811605497524,-7.712858725758349
44.99999999999993,-1.1419811605497523,-7.683306721745978
46.00000000000004,-1.1429811605497524,-7.653810793146756
46.99999999999993,-1.1439811605497523,-7.624381841798663
48.00000000000004,-1.1449811605497524,-7.595031490541971
48.99999999999993,-1.1459811605497523,-7.5657722193584505
50.00000000000004,-1.1469811605497524,-7.536617525994946
51.000000000000156,-1.1479811605497525,-7.507582117596106
52.00000000000004,-1.1489811605497524,-7.478682141890927
52.999999999999936,-1.1499811605497523,-7.449935469275182
54.00000000000005,-1.1509811605497524,-7.421362041060939
55.000000000000156,-1.1519811605497525,-7.392984304770026
56.00000000000005,-1.1529811605497524,-7.36482776548794
57.00000000000016,-1.1539811605497525,-7.33692169434614
57.97343646907227,-1.1549545970188246,-7.310029780026113
58.97343646907216,-1.1559545970188245,-7.2840727588747285
59.97343646907227,-1.1569545970188246,-7.260440972500277
60.97343646907216,-1.1579545970188245,-7.238336964150827
61.973436469072276,-1.1589545970188246,-7.217214568357312
62.97343646907216,-1.1599545970188245,-7.196690725976855
63.973436469072276,-1.1609545970188246,-7.176491598096402
64.97343646907217,-1.1619545970188245,-7.156418440869414
65.97343646907228,-1.1629545970188246,-7.136325319332768
66.97343646907217,-1.1639545970188245,-7.1161041596094385
67.97343646907228,-1.1649545970188246,-7.0956744872557636
68.97343646907217,-1.1659545970188245,-7.074976237486892
69.97343646907228,-1.1669545970188246,-7.053964626282263
70.97343646907217,-1.1679545970188245,-7.03260643288381
71.97343646907228,-1.1689545970188246,-7.010877266844915
72.97343646907217,-1.1699545970188245,-6.98875953332058
73.97343646907228,-1.1709545970188246,-6.966240900980195
74.97343646907217,-1.1719545970188245,-6.943313136637268
75.97343646907228,-1.1729545970188247,-6.919971210730875
76.97343646907217,-1.1739545970188245,-6.896212605093667
77.97343646907228,-1.1749545970188247,-6.8720367733406285
78.97343646907218,-1.1759545970188245,-6.8474447174812765
79.97343646907228,-1.1769545970188247,-6.822438653794107
80.97343646907218,-1.1779545970188245,-6.797021747793327
81.9734364690723,-1.1789545970188247,-6.77119790305979
82.9734364690724,-1.1799545970188248,-6.744971592341324
83.9734364690723,-1.1809545970188247,-6.718347722024252
84.97343646907218,-1.1819545970188245,-6.691331523097388
85.9734364690723,-1.1829545970188247,-6.663928463254577
86.97343646907218,-1.1839545970188246,-6.63614417594218
87.9734364690723,-1.1849545970188247,-6.607984403047386
88.97343646907241,-1.1859545970188248,-6.579454948609583
89.9734364690723,-1.1869545970188247,-6.550561641470213
90.97343646907218,-1.1879545970188246,-6.521310305193084
91.9734364690723,-1.1889545970188247,-6.4917067339145476
92.9734364690722,-1.1899545970188246,-6.461756673041499
93.9734364690723,-1.1909545970188247,-6.431465803920581
94.9734364690722,-1.1919545970188246,-6.400839731765742
95.97343646907231,-1.1929545970188247,-6.3698839762626065
96.97343646907241,-1.1939545970188248,-6.33860396437373
97.97343646907231,-1.1949545970188247,-6.307005024954171
98.97343646907242,-1.1959545970188248,-6.275092384856008
99.97343646907231,-1.1969545970188247,-6.242871166256778
100.97343646907242,-1.1979545970188248,-6.21034638499275
101.97343646907231,-1.1989545970188247,-6.177522949715687
102.9734364690722,-1.1999545970188246,-6.144405661722612
103.97343646907231,-1.2009545970188247,-6.110999215333633
104.97343646907242,-1.2019545970188248,-6.077308198713952
105.97343646907231,-1.2029545970188247,-6.043337095053505
106.9734364690722,-1.2039545970188246,-6.009090284032285
107.97343646907231,-1.2049545970188247,-5.974572043511308
108.97343646907242,-1.2059545970188248,-5.9397865513992265
109.97343646907231,-1.2069545970188247,-5.9047378876529955
110.97343646907242,-1.2079545970188248,-5.869430036377915
111.97343646907231,-1.2089545970188247,-5.833866887998272
112.97343646907221,-1.2099545970188246,-5.798052241474655
113.97343646907233,-1.2109545970188247,-5.7619898065482005
114.97343646907221,-1.2119545970188246,-5.725683205995385
115.97343646907233,-1.2129545970188247,-5.6891359778799515
116.97343646907244,-1.2139545970188248,-5.652351577790974
117.97343646907233,-1.2149545970188247,-5.615333381058118
118.97343646907244,-1.2159545970188248,-5.57808468493685
119.97343646907233,-1.2169545970188247,-5.540608710757867
120.97343646907244,-1.2179545970188248,-5.502908606036157
121.97343646907233,-1.2189545970188247,-5.46498744653619
122.97343646907221,-1.2199545970188246,-5.426848238290567
123.97343646907233,-1.2209545970188247,-5.3884939195701715
124.97343646907223,-1.2219545970188246,-5.349927362804496
125.97343646907233,-1.2229545970188247,-5.311151376451291
126.97343646907244,-1.2239545970188248,-5.272168706815112
127.97343646907234,-1.2249545970188247,-5.232982039814713
128.97343646907223,-1.2259545970188246,-5.193594002699438
129.97343646907234,-1.2269545970188247,-5.154007165715138
130.97343646907223,-1.2279545970188246,-5.114224043720165
131.97343646907234,-1.2289545970188247,-5.074247097752299
132.97343646907223,-1.2299545970188246,-5.034078736547447
133.97343646907234,-1.2309545970188247,-4.9937213180112145
134.97343646907223,-1.2319545970188246,-4.953177150644336
135.97343646907234,-1.2329545970188247,-4.912448494923156
136.97343646907223,-1.2339545970188246,-4.871537564636337
137.97343646907234,-1.2349545970188247,-4.8304465281789515
138.97343646907223,-1.2359545970188246,-4.7891775098052385
139.97343646907234,-1.2369545970188247,-4.747732590841194
140.97343646907245,-1.2379545970188248,-4.7061138108582306
141.97343646907234,-1.2389545970188247,-4.664323168809147
142.97343646907223,-1.2399545970188246,-4.622362624127549
143.7095753562001,-1.2406907359059525,-4.5913663853622495
144.7095753562,-1.2416907359059524,-4.549599598236209
145.7095753562001,-1.2426907359059525,-4.508575111931421
146.7095753562,-1.2436907359059524,-4.468218418359597
147.7095753562001,-1.2446907359059525,-4.4284708722662485
148.7095753562,-1.2456907359059524,-4.3892854128759335
149.7095753562001,-1.2466907359059525,-4.350623675539082
150.7095753562,-1.2476907359059524,-4.312453977439847
151.7095753562001,-1.2486907359059525,-4.274749873811815
152.7095753562,-1.2496907359059524,-4.237489098516681
153.7095753562001,-1.2506907359059525,-4.200652770737443
154.7095753562,-1.2516907359059524,-4.164224790345114
155.7095753562001,-1.2526907359059525,-4.12819136985695
156.7095753562,-1.2536907359059524,-4.092540667129982
157.7095753562001,-1.2546907359059525,-4.057262493586842
158.7095753562,-1.2556907359059524,-4.02234807992757
159.7095753562001,-1.2566907359059525,-3.9877898861886445
160.70957535620002,-1.2576907359059524,-3.953581446438707
161.7095753562001,-1.2586907359059525,-3.9197172408357392
162.70957535620022,-1.2596907359059526,-3.886192589527073
163.70957535620013,-1.2606907359059525,-3.8530035641586085
164.70957535620002,-1.2616907359059524,-3.820146913711709
165.70957535620013,-1.2626907359059525,-3.787620002100198
166.70957535620025,-1.2636907359059526,-3.7554207555011976
167.70957535620013,-1.2646907359059525,-3.723547617808176
168.70957535620002,-1.2656907359059524,-3.691999512915338
169.70957535620013,-1.2666907359059525,-3.6607758127928562
170.70957535620002,-1.2676907359059524,-3.629876310509597
171.70957535620013,-1.2686907359059525,-3.5993011975165583
172.70957535620002,-1.2696907359059524,-3.569051044629582
173.70957535620013,-1.2706907359059525,-3.5391267862510354
174.70957535620002,-1.2716907359059524,-3.5095297074525007
175.70957535620013,-1.2726907359059525,-3.480261433607953
176.70957535620002,-1.2736907359059524,-3.451323922322815
177.70957535620013,-1.2746907359059525,-3.4227194574508495
178.70957535620025,-1.2756907359059526,-3.394450645030179
179.70957535620013,-1.2766907359059525,-3.366520411003189
180.70957535620002,-1.2776907359059524,-3.33893200061393
181.70957535620013,-1.2786907359059525,-3.3116889794018816
182.70957535620002,-1.2796907359059524,-3.2847952357332573
183.70957535620013,-1.2806907359059525,-3.258254984831198
184.70957535620002,-1.2816907359059524,-3.232072774284693
185.70957535620013,-1.2826907359059525,-3.206253491033322
186.70957535620025,-1.2836907359059526,-3.180802369841432
187.70957535620013,-1.2846907359059525,-3.1557250032914337
188.70957535620002,-1.2856907359059524,-3.1310273533418513
189.70957535620013,-1.2866907359059525,-3.1067157645120167
190.70957535620005,-1.2876907359059524,-3.0827969787720257
191.70957535620013,-1.2886907359059525,-3.0592781522341888
192.70957535620005,-1.2896907359059524,-3.036166873761045
193.70957535620016,-1.2906907359059525,-3.0134711856253285
194.70957535620025,-1.2916907359059526,-2.991199606379608
195.70957535620016,-1.2926907359059525,-2.969361156117939
196.70957535620005,-1.2936907359059524,-2.9479653843394225
197.70957535620016,-1.2946907359059525,-2.927022400654502
198.70957535620005,-1.2956907359059524,-2.9065429086098833
199.70957535620016,-1.2966907359059525,-2.8865382429478488
200.70957535620005,-1.2976907359059524,-2.867020410661473
201.70957535620016,-1.2986907359059525,-2.8480021362597734
202.70957535620028,-1.2996907359059526,-2.8294969117176247
203.70957535620016,-1.3006907359059525,-2.8115190516557753
204.70957535620028,-1.3016907359059526,-2.794083754378507
205.09806107927432,-1.3020792216290267,-2.7874601562743777
206.0980610792742,-1.3030792216290266,-2.7706917409714378
207.09806107927432,-1.3040792216290267,-2.754259371866034
208.0980610792742,-1.3050792216290266,-2.738151622182212
209.09806107927432,-1.3060792216290267,-2.722357709392815
210.0980610792742,-1.3070792216290266,-2.706867445560552
211.09806107927432,-1.3080792216290267,-2.6916711924974837
212.0980610792742,-1.3090792216290266,-2.6767598211834973
213.09806107927432,-1.3100792216290267,-2.6621246749595393
214.0980610792742,-1.3110792216290266,-2.647757536075121
215.09806107927432,-1.3120792216290267,-2.633650595223883
216.0980610792742,-1.3130792216290266,-2.6197964237473275
217.09806107927432,-1.3140792216290267,-2.6061879482265615
